xi,muq_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,last_retained_muq_MeV,last_retained_T_MeV,first_excluded_muq_MeV,first_excluded_T_MeV,native_mu_gap_MeV,interpretation
0.3875,336.87131117910803,113.8125,113.875,325.430783386121,123.18993451095827,350.46392056966874,113.00641476574049,25.03313718354775,native crossover sampling gap across CEP proxy; no implicit connector
0.39375,337.55513100941835,113.4375,113.5625,325.60363603415556,123.27671258977608,350.65006957524446,113.00641476574049,25.046433541088902,native crossover sampling gap across CEP proxy; no implicit connector
0.4,338.15785067781815,113.1328125,113.203125,325.77577449700306,123.36886053007359,350.835449458311,112.50644002072372,25.059674961307962,native crossover sampling gap across CEP proxy; no implicit connector
0.4125,339.5047745433942,112.375,112.4375,326.11788819680453,123.54470110353579,351.2038795965587,109.00661680560633,25.085991399754164,native crossover sampling gap across CEP proxy; no implicit connector
0.425,340.75551343036426,111.6875,111.75,326.45719936038,123.7160005654236,351.5692916188708,109.00661680560633,25.112092258490804,native crossover sampling gap across CEP proxy; no implicit connector
0.43125,341.4047283348482,111.3125,111.375,326.6258174601036,123.80551181207822,351.75088034165003,109.00661680560633,25.125062881546455,native crossover sampling gap across CEP proxy; no implicit connector
0.4375,342.0481347196643,110.9375,111.0,326.7937489249138,123.89116154302212,351.9317296114457,109.00661680560633,25.137980686531876,native crossover sampling gap across CEP proxy; no implicit connector
0.44375,342.6857875306132,110.5625,110.625,326.96099647794665,123.97681127396605,352.1118423608657,109.00661680560633,25.150845882919043,native crossover sampling gap across CEP proxy; no implicit connector
0.45,343.31774113756234,110.1875,110.25,327.1275758998586,124.06246100490993,352.29123558446304,109.00661680560633,25.163659684604454,native crossover sampling gap across CEP proxy; no implicit connector
0.4625,344.56476774453915,109.4375,109.5,327.4587286270137,124.2275124031298,352.64786159832244,109.00661680560633,25.18913297130871,native crossover sampling gap across CEP proxy; no implicit connector
0.475,345.84837890419715,108.625,108.6875,327.7872596163663,124.39895507027914,353.0016642022407,105.00681884547217,25.214404585874377,native crossover sampling gap across CEP proxy; no implicit connector
0.4875,347.10767255593714,107.8125,107.875,328.11318686384254,124.56904620584922,353.35266277644587,105.00681884547217,25.239475912603325,native crossover sampling gap across CEP proxy; no implicit connector
0.5,348.39913794237924,106.9375,107.0625,328.43656797883654,124.73515791683195,353.70091936182394,105.00681884547217,25.2643513829874,native crossover sampling gap across CEP proxy; no implicit connector
