table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,204,"{""muq_MeV"":300.0,""xi"":0.1}",False,False,1.0599258911780112,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,205,"{""muq_MeV"":330.0,""xi"":0.1}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,206,"{""muq_MeV"":360.0,""xi"":0.1}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,207,"{""muq_MeV"":390.0,""xi"":0.1}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,208,"{""muq_MeV"":420.0,""xi"":0.1}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,209,"{""muq_MeV"":450.0,""xi"":0.1}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,210,"{""muq_MeV"":0.0,""xi"":0.15}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,211,"{""muq_MeV"":30.0,""xi"":0.15}",False,False,5.519271707024,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,212,"{""muq_MeV"":60.0,""xi"":0.15}",False,False,11.038543414046998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,213,"{""muq_MeV"":90.0,""xi"":0.15}",False,False,7.922913171904995,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,214,"{""muq_MeV"":120.0,""xi"":0.15}",False,False,2.403641464881005,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,215,"{""muq_MeV"":150.0,""xi"":0.15}",False,False,3.1156302421420037,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,216,"{""muq_MeV"":180.0,""xi"":0.15}",False,False,8.634901949165993,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,217,"{""muq_MeV"":210.0,""xi"":0.15}",False,False,10.326554636786,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,218,"{""muq_MeV"":240.0,""xi"":0.15}",False,False,4.807282929763005,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,219,"{""muq_MeV"":270.0,""xi"":0.15}",False,False,0.7119887772610127,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,220,"{""muq_MeV"":300.0,""xi"":0.15}",False,False,1.9276366938140086,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,221,"{""muq_MeV"":330.0,""xi"":0.15}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,222,"{""muq_MeV"":360.0,""xi"":0.15}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,223,"{""muq_MeV"":390.0,""xi"":0.15}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,224,"{""muq_MeV"":420.0,""xi"":0.15}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,225,"{""muq_MeV"":450.0,""xi"":0.15}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,226,"{""muq_MeV"":0.0,""xi"":0.2}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,227,"{""muq_MeV"":30.0,""xi"":0.2}",False,False,5.394462100777002,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,228,"{""muq_MeV"":60.0,""xi"":0.2}",False,False,10.788924201554003,accepted_key_grid_differs_from_legacy,nearest_accepted_support
