xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
0.1125,55.0,True,True,True,True,True,5.546500347008987e-06,4.353548023805498e-06,2.3913221713911526e-06,4.357811361287868e-06,2.2321628695531892e-05,9.121852139859499e-06
0.1125,57.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,59.0,True,True,True,True,True,4.516156025147211e-06,4.873506947999928e-08,1.3723250535946363e-07,3.101192868528043e-07,0.0,0.0
0.1125,61.0,True,True,True,True,True,4.40211914565225e-06,4.8241063921317107e-08,1.3517760200087992e-07,7.090098009600071e-07,0.0,0.0
0.1125,65.0,True,True,True,True,True,4.165619429841172e-06,5.227358154669126e-08,1.3103277662906976e-07,7.667850024232689e-06,0.0,0.0
0.1125,67.0,True,True,True,True,True,4.043460933189635e-06,5.385248039169177e-08,1.2895396128698167e-07,1.3242805917011084e-06,0.0,0.0
0.1125,69.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,71.0,True,True,True,True,True,3.791268795794167e-06,5.610105718867331e-08,1.2478373800917097e-07,1.6494302649289888e-06,0.0,0.0
0.1125,73.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,75.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,77.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,79.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,81.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,83.0,True,True,True,True,True,5.957493613095721e-06,1.2875115645849533e-07,2.1977457587141203e-07,3.1253362509676e-06,0.0,0.0
0.1125,85.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,87.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,89.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,91.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,93.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,95.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,97.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,99.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,101.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,103.0,True,True,True,True,True,5.985563404919958e-06,2.9125634115612087e-07,3.3120928222274415e-07,1.914042599307227e-06,0.0,0.0
0.1125,105.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,107.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,109.0,True,True,True,True,True,4.1877653416122484e-06,2.8861576217842355e-07,2.9636039933222946e-07,7.128927588625312e-06,0.0,0.0
0.1125,111.0,True,True,True,True,True,7.202457823041186e-06,5.723840095228638e-07,5.635061186559653e-07,7.788769969499347e-06,0.0,0.0
0.1125,113.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,115.0,True,True,True,True,True,4.930428019633837e-06,5.317219922140737e-07,5.040448920468066e-07,7.338703884034029e-06,0.0,0.0
