xi,T_MeV,candidate_state,reference_state,classification_regression
0.05,41,confirmed_first_order,confirmed_first_order,false
0.05,46,confirmed_monotone,confirmed_monotone,false
0.05,51,confirmed_first_order,confirmed_first_order,false
0.05,56,confirmed_monotone,confirmed_monotone,false
0.05,61,confirmed_first_order,confirmed_first_order,false
0.05,66,confirmed_monotone,confirmed_monotone,false
0.05,71,confirmed_first_order,confirmed_first_order,false
0.05,76,confirmed_monotone,confirmed_monotone,false
0.05,81,confirmed_first_order,confirmed_first_order,false
0.05,86,confirmed_monotone,confirmed_monotone,false
0.05,91,confirmed_first_order,confirmed_first_order,false
0.05,96,confirmed_monotone,confirmed_monotone,false
0.05,101,confirmed_first_order,confirmed_first_order,false
0.05,106,confirmed_monotone,confirmed_monotone,false
0.05,111,confirmed_first_order,confirmed_first_order,false
0.05,116,confirmed_first_order,confirmed_monotone,false
0.05,121,confirmed_first_order,confirmed_first_order,false
0.05,126,confirmed_first_order,confirmed_first_order,false
0.05,131,ambiguous_near_critical,ambiguous_near_critical,false
0.05,136,confirmed_monotone,confirmed_monotone,false
0.05,141,ambiguous_near_critical,ambiguous_near_critical,false
0.05,146,confirmed_monotone,confirmed_monotone,false
0.05,151,confirmed_monotone,confirmed_monotone,false
0.05,156,confirmed_monotone,confirmed_monotone,false
0.05,161,ambiguous_near_critical,ambiguous_near_critical,false
0.05,166,confirmed_monotone,confirmed_monotone,false
