xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.2,115.0,306.28437426636503,296.6875305351398,1.0526366805392497,2.283305697358135,115.0,115.0
-0.2,120.0,297.8544116327438,290.743742009335,1.1705670460854964,2.3203792871230107,120.0,120.0
-0.2,125.0,288.6546305363021,283.9741039807558,1.314548492027027,2.3467521319569196,125.0,125.0
-0.2,130.0,278.6951576095995,276.28849978555024,1.4989738258317176,2.3515634544002175,130.0,130.0
-0.2,135.0,268.0914064820657,267.5416628351554,1.7647893790785776,2.298372323668409,135.0,135.0
-0.15,60.0,362.065948544887,332.4122505474301,0.4248556420308591,1.973566183268621,60.0,60.0
-0.15,65.0,359.30974548206564,330.91088779059805,0.45927715507844447,1.981055150442805,65.0,65.0
-0.15,70.0,356.2518842195521,329.32681506299934,0.49531868643738575,1.9936502008981167,70.0,70.0
-0.15,75.0,352.86603838916494,327.59794150035907,0.5342314675178244,2.010635497739412,75.0,75.0
-0.15,80.0,349.1196322608932,325.66089708166294,0.5771236300921334,2.0315849212924535,80.0,80.0
-0.15,85.0,344.9756552517365,323.4589564584639,0.6250072497915672,2.0557431886167095,85.0,85.0
-0.15,90.0,340.3937181736735,320.92741571267914,0.6787959451575325,2.0839651267533097,90.0,90.0
-0.15,95.0,335.3304881073278,318.0083993078033,0.7392882423471939,2.115441528616845,95.0,95.0
-0.15,100.0,329.7395968186577,314.6334349981166,0.8071524126924451,2.149992544081224,100.0,100.0
-0.15,105.0,323.56967684797456,310.7379420429577,0.8839619449712592,2.1874241313158453,105.0,105.0
-0.15,110.0,316.7746646592771,306.25223337765806,0.9722610687022911,2.226364347539009,110.0,110.0
-0.15,115.0,309.30024335522114,301.10497284283326,1.0751544536370417,2.2634466603241776,115.0,115.0
-0.15,120.0,301.10659338135963,295.21597089222604,1.1980932635176471,2.2957601228190905,120.0,120.0
-0.15,125.0,292.16571536853013,288.50579554555924,1.3484701440217828,2.316449666671311,125.0,125.0
-0.15,130.0,282.49940176904914,280.8692965988855,1.5460245750968444,2.308437680122425,130.0,130.0
-0.15,135.0,272.2665784799568,272.12604886761625,1.863105897803246,2.2060542711920417,135.0,135.0
-0.1,60.0,363.3183713585286,336.4309571505544,0.4389527601877091,1.9735721982758636,60.0,60.0
-0.1,65.0,360.6685175435177,334.8965763315784,0.4716049709548631,1.978313275447439,65.0,65.0
-0.1,70.0,357.7159537312566,333.2919001587768,0.5087503256621801,1.9890174439302128,70.0,70.0
-0.1,75.0,354.442811087172,331.5538143133352,0.5486593199580891,2.004468341115909,75.0,75.0
-0.1,80.0,350.8180815133251,329.6193652194811,0.5924238085272754,2.0243695163229827,80.0,80.0
-0.1,85.0,346.80585688634613,327.42452990508434,0.6410412483138783,2.047019282064817,85.0,85.0
-0.1,90.0,342.3664822807548,324.91152633741643,0.6954213688452512,2.0740740572356975,90.0,90.0
-0.1,95.0,337.45704490265894,322.0135696238202,0.756370147485727,2.103480696763248,95.0,95.0
-0.1,100.0,332.03134071260547,318.6680744723457,0.8245736418750191,2.1364844513855665,100.0,100.0
-0.1,105.0,326.0397895032,314.8100307183552,0.9039937362647994,2.1717475519837777,105.0,105.0
-0.1,110.0,319.4350902622874,310.3650111905369,0.9945964214019754,2.2069846903865917,110.0,110.0
-0.1,115.0,312.1690836356744,305.2611000128961,1.1006216994719233,2.240877922500502,115.0,115.0
-0.1,120.0,304.19953683485534,299.42178661508945,1.2269562777273169,2.268690246166965,120.0,120.0
-0.1,125.0,295.50728318715807,292.75536711452594,1.3856619585903263,2.2809727936977318,125.0,125.0
-0.1,130.0,286.1285249611934,285.1506271233981,1.601525813767378,2.255215453947042,130.0,130.0
-0.05,60.0,364.5395382620207,340.2241404946328,0.4528196580522815,1.9703493576061355,60.0,60.0
-0.05,65.0,361.97383516240365,338.666472622519,0.48577215924369693,1.9728049849497735,65.0,65.0
-0.05,70.0,359.12670488187626,337.0442819020258,0.52193850798964,1.9820527311312013,70.0,70.0
-0.05,75.0,355.9602449479581,335.29943915839215,0.5628652392323239,1.9961268793439373,75.0,75.0
-0.05,80.0,352.4503936257931,333.3664507219147,0.607540233459581,2.0145753761837297,80.0,80.0
-0.05,85.0,348.56232960958306,331.1798695604917,0.6569408926491775,2.036439191322321,85.0,85.0
-0.05,90.0,344.2571390200346,328.68152293335106,0.711966643172764,2.061545569926664,90.0,90.0
-0.05,95.0,339.4923567724027,325.80379273086567,0.7734255958104669,2.0897840709984576,95.0,95.0
-0.05,100.0,334.2210593089584,322.48617829309126,0.844448315698762,2.1209446089124238,100.0,100.0
-0.05,105.0,328.4002414355548,318.6569569850511,0.9241800137564875,2.153028004667446,105.0,105.0
-0.05,110.0,321.9778003798653,314.24719882940104,1.017566482452415,2.1858552062170307,110.0,110.0
-0.05,115.0,314.90796878751286,309.1837599816561,1.1267416943001964,2.215655804009924,115.0,115.0
-0.05,120.0,307.1549925410241,303.38170021355944,1.2595875383940551,2.237043125759265,120.0,120.0
-0.05,125.0,298.7031055681034,296.7502796991571,1.4275089128931189,2.238928068972987,125.0,125.0
-0.05,130.0,289.6127779453196,289.1531296520878,1.6703881924788013,2.1869613959836127,130.0,130.0
0.0,60.0,365.72536716288755,343.8037551347138,0.46641885796384064,1.9634497608397437,60.0,60.0
0.0,65.0,363.24593648501974,342.22978042501535,0.5004744882457967,1.9639490562120983,65.0,65.0
0.0,70.0,360.4857489594854,340.59985900118033,0.5370411560965965,1.9725007079658157,70.0,70.0
0.0,75.0,357.4206885599634,338.8500619756362,0.5772187958444333,1.985625538001941,75.0,75.0
0.0,80.0,354.0239411660504,336.91991847433576,0.6224655951108441,2.0027447009629875,80.0,80.0
0.0,85.0,350.2533842868577,334.7437059950095,0.6726924846435,2.023978629018065,85.0,85.0
0.0,90.0,346.0724881109524,332.25665491623846,0.7289709782496165,2.0472447072380593,90.0,90.0
0.0,95.0,341.4455364886435,329.39907036998676,0.7928062333896997,2.0743889233905097,95.0,95.0
0.0,100.0,336.3252645437899,326.1021527949628,0.8644589595590726,2.1025227223634575,100.0,100.0
0.0,105.0,330.6632064848657,322.29974254881245,0.9470934306899331,2.132762870874502,105.0,105.0
0.0,110.0,324.4147470079382,317.9220958870703,1.042788747633216,2.1617540425903305,110.0,110.0
0.0,115.0,317.5352623082442,312.8889126722369,1.156280181649544,2.186849598442451,115.0,115.0
0.0,120.0,309.9895881202588,307.1191048753196,1.2952349183669467,2.2009015735388626,120.0,120.0
0.0,125.0,301.77449311635854,300.50799029368,1.47622971442942,2.189430690308933,125.0,125.0
0.0,130.0,292.9859516956806,292.88640185598723,1.771799335590536,2.0849015004007834,130.0,130.0
0.05,60.0,366.8739047141785,347.1805762956451,0.480869729013492,1.9526807808040896,60.0,60.0
0.05,65.0,364.4825872250426,345.59969418707414,0.5149010520384115,1.9520114037918175,65.0,65.0
0.05,70.0,361.81023261062415,343.9672224319963,0.5525458747723722,1.9597143609814847,70.0,70.0
0.05,75.0,358.8398638394503,342.220640181931,0.5937602926894067,1.9728591456126767,75.0,75.0
0.05,80.0,355.5423974121924,340.29374315323787,0.6394898123216672,1.9889813139593995,80.0,80.0
0.05,85.0,351.8840076680875,338.1265733101902,0.690627166138187,2.008561876443334,85.0,85.0
0.05,90.0,347.8271909138977,335.6521397896742,0.7480143197706254,2.031279298635729,90.0,90.0
0.05,95.0,343.3311557744541,332.81088599473577,0.8124192083289586,2.0557488602274465,95.0,95.0
0.05,100.0,338.3503013397241,329.53378645143425,0.8858788593458813,2.082582630951856,100.0,100.0
0.05,105.0,332.8435400720012,325.756297480562,0.9703060779315975,2.1093653446657807,105.0,105.0
0.05,110.0,326.76165645432303,321.402285000469,1.0692970493429157,2.1348984888154043,110.0,110.0
0.05,115.0,320.06332208786273,316.39665061605484,1.187820890303824,2.1541785076026208,115.0,115.0
0.05,120.0,312.72059486330977,310.648485798271,1.3349596675629487,2.1596994963845746,120.0,120.0
0.05,125.0,304.7419242857901,304.04252272594624,1.5357104700855178,2.1293018061759756,125.0,125.0
0.1,60.0,368.0022376420394,350.3649785968718,0.4970157077644668,1.9381938732094601,60.0,60.0
0.1,65.0,365.6826936334471,348.78710373049955,0.5299175119505599,1.937203753947811,65.0,65.0
0.1,70.0,363.0990290690693,347.1593694038863,0.5677880394133532,1.9445348648099183,70.0,70.0
0.1,75.0,360.21924455927365,345.4191606809368,0.6100695498997705,1.9569447248762284,75.0,75.0
0.1,80.0,357.0198252799638,343.5019100272639,0.6567968802755052,1.9732696578556286,80.0,80.0
0.1,85.0,353.46775868172386,341.3427487283465,0.708825226096995,1.991445440788204,85.0,85.0
0.1,90.0,349.52610151637407,338.88249645953044,0.7669722138572641,2.012567495795347,90.0,90.0
0.1,95.0,345.1526791094363,336.05416938659937,0.8330728184533305,2.035609123828516,95.0,95.0
0.1,100.0,340.3095661923076,332.79629724705944,0.9088970274964835,2.0596045743780476,100.0,100.0
0.1,105.0,334.94838059910387,329.0366654775994,0.9962451588943694,2.083681896896206,105.0,105.0
0.1,110.0,329.0273175077146,324.70512320295694,1.0989265460437485,2.104333260180791,110.0,110.0
0.1,115.0,322.50703062129276,319.7188302078394,1.2224305137089613,2.1177891252787706,115.0,115.0
0.1,120.0,315.36318677214024,313.9827311051594,1.380714574840283,2.1113591579756936,120.0,120.0
0.1,125.0,307.62785009746216,307.36199944888415,1.6135619500936977,2.047568578553612,125.0,125.0
0.15,60.0,369.107629139763,353.36951304711124,0.5128236652342845,1.91973235410685,60.0,60.0
0.15,65.0,366.8606780143338,351.80444729667715,0.5467650024623062,1.9192911809664335,65.0,65.0
0.15,70.0,364.3520272850166,350.1872780442518,0.5843251228625883,1.9272878890805085,70.0,70.0
0.15,75.0,361.5593670424932,348.4580867173461,0.626361066441597,1.9391768726244705,75.0,75.0
0.15,80.0,358.4571227250013,346.55168074914627,0.6739072228081644,1.954374850214356,80.0,80.0
0.15,85.0,355.0042333607413,344.4052068710157,0.727192607979995,1.9725462914679526,85.0,85.0
0.15,90.0,351.1731720799577,341.95522748374054,0.7875990127425114,1.9916942883895075,90.0,90.0
0.15,95.0,346.922121871745,339.14221703421345,0.8556520549642369,2.012815014683908,95.0,95.0
0.15,100.0,342.2074458251839,335.8976784219975,0.9330142294498703,2.034410846921296,100.0,100.0
0.15,105.0,336.9898441695957,332.15593619005546,1.023060667340741,2.0544073849559803,105.0,105.0
0.15,110.0,331.2233760578904,327.8403360965881,1.130409621206559,2.0708262084840667,110.0,110.0
0.15,115.0,324.8764070421206,322.86563286457846,1.2622860903905455,2.076015363205202,115.0,115.0
0.15,120.0,317.93237313085405,317.13114117591584,1.4358246700969033,2.0527472527472357,120.0,120.0
0.15,125.0,310.466444393896,310.4563120568268,1.759471256210166,1.897400241838093,125.0,125.0
0.2,60.0,370.18800770484825,356.2005328954418,0.5289360892721362,1.8961285820379628,60.0,60.0
0.2,65.0,368.01500504803033,354.6586057332935,0.5632864165222656,1.8976686431115644,65.0,65.0
0.2,70.0,365.5820752348704,353.0625721398868,0.60201413532251,1.9065212359978112,70.0,70.0
0.2,75.0,362.8717782298834,351.3492867106513,0.6452324848467048,1.9193039961122231,75.0,75.0
0.2,80.0,359.856538058341,349.4546414879299,0.6937013744813263,1.934001549077581,80.0,80.0
0.2,85.0,356.5043226257134,347.3203559431831,0.7481910146318994,1.950390890550638,85.0,85.0
