channel,xi,T_MeV,omega_fm,K_eff,re_pi,im_pi
K,-0.15,220,0.38,0.20006372844108625,0.7948671483104089,-0.0
pi,-0.15,220,0.4,0.23127204764808454,0.9081493728890495,0.001348798096407602
K,-0.15,220,0.4,0.20006372844108625,0.7983747321040928,-0.0
pi,-0.15,220,0.42,0.23127204764808454,0.9097339717160412,0.0016465075477203942
K,-0.15,220,0.42,0.20006372844108625,0.8025559548655736,-0.0
pi,-0.15,220,0.44,0.23127204764808454,0.9113926490007614,0.001973320744818154
K,-0.15,220,0.44,0.20006372844108625,0.8076822940074865,-0.0
pi,-0.15,220,0.46,0.23127204764808454,0.9131249493038234,0.002331216496725653
K,-0.15,220,0.46,0.20006372844108625,0.8142472414966349,-0.0
pi,-0.15,220,0.48,0.23127204764808454,0.9149303970142416,0.002721974316340342
K,-0.15,220,0.48,0.20006372844108625,0.8233132118908334,-0.0
pi,-0.15,220,0.5,0.23127204764808454,0.9168084964833384,0.0031472539780993598
K,-0.15,220,0.5,0.20006372844108625,0.8382011935666506,-0.0
pi,-0.15,220,0.52,0.23127204764808454,0.9187587321632658,0.0036086378585587294
K,-0.15,220,0.52,0.20006372844108625,0.9278217867580393,-0.0
pi,-0.15,220,0.54,0.23127204764808454,0.9207805687501727,0.004107655056935516
K,-0.15,220,0.54,0.20006372844108625,0.8501895785622449,-0.07022072918396376
pi,-0.15,220,0.56,0.23127204764808454,0.9228734513319495,0.004645795879637893
K,-0.15,220,0.56,0.20006372844108625,0.8340467535487871,-0.0735845452078533
pi,-0.15,220,0.58,0.23127204764808454,0.9250368055404415,0.005224520907298222
K,-0.15,220,0.58,0.20006372844108625,0.8245173601791684,-0.07660848100281822
pi,-0.15,220,0.6,0.23127204764808454,0.9272700377080078,0.005845266860799619
K,-0.15,220,0.6,0.20006372844108625,0.8172552525791358,-0.07928535798729464
pi,-0.15,220,0.62,0.23127204764808454,0.9295725350282892,0.006509450496340282
K,-0.15,220,0.62,0.20006372844108625,0.811095124635473,-0.08161250060615582
pi,-0.15,220,0.64,0.23127204764808454,0.9319436657210426,0.007218471244046466
K,-0.15,220,0.64,0.20006372844108625,0.8055764779063647,-0.08359106698585038
pi,-0.15,220,0.66,0.23127204764808454,0.9343827792008964,0.007973713021593295
K,-0.15,220,0.66,0.20006372844108625,0.8004831738611266,-0.08522544605489517
pi,-0.15,220,0.68,0.23127204764808454,0.9368892062498717,0.008776545492219514
K,-0.15,220,0.68,0.20006372844108625,0.7957045444628611,-0.0865227196508094
pi,-0.15,220,0.7,0.23127204764808454,0.939462259193524,0.00962832494029647
K,-0.15,220,0.7,0.20006372844108625,0.7911817825049341,-0.08749218628201046
pi,-0.15,220,0.72,0.23127204764808454,0.9421012320805349,0.010530394878645825
K,-0.15,220,0.72,0.20006372844108625,0.786883782261625,-0.08814494221077303
pi,-0.15,220,0.74,0.23127204764808454,0.9448054008656086,0.011484086464645308
K,-0.15,220,0.74,0.20006372844108625,0.7827950247704031,-0.08849351507450821
pi,-0.15,220,0.76,0.23127204764808454,0.9475740235954985,0.0124907187781648
K,-0.15,220,0.76,0.20006372844108625,0.7789090148000941,-0.08855154516451076
pi,-0.15,220,0.78,0.23127204764808454,0.9504063405980078,0.013551598998526653
K,-0.15,220,0.78,0.20006372844108625,0.7752245164653004,-0.08833350959772794
pi,-0.15,220,0.8,0.23127204764808454,0.9533015746737941,0.014668022507008596
K,-0.15,220,0.8,0.20006372844108625,0.7717433013140195,-0.08785448485798969
pi,-0.15,220,0.82,0.23127204764808454,0.9562589312908095,0.015841272934083356
K,-0.15,220,0.82,0.20006372844108625,0.7684687602862705,-0.08712994348987693
pi,-0.15,220,0.84,0.23127204764808454,0.9592775987812102,0.01707262216548146
K,-0.15,220,0.84,0.20006372844108625,0.7654050315466363,-0.08617558106384533
pi,-0.15,220,0.86,0.23127204764808454,0.9623567485405568,0.018363330317546497
K,-0.15,220,0.86,0.20006372844108625,0.7625564476457678,-0.08500716987215383
pi,-0.15,220,0.88,0.23127204764808454,0.965495535229144,0.01971464568975649
K,-0.15,220,0.88,0.20006372844108625,0.7599271861122161,-0.0836404361477399
pi,-0.15,220,0.9,0.23127204764808454,0.9686930969752754,0.021127804700395277
K,-0.15,220,0.9,0.20006372844108625,0.7575210525847379,-0.08209095791450838
pi,-0.15,220,0.92,0.23127204764808454,0.9719485555803162,0.02260403180996827
K,-0.15,220,0.92,0.20006372844108625,0.7553413517516366,-0.08037408087346938
pi,-0.15,220,0.94,0.23127204764808454,0.9752610167253467,0.024144539435922194
K,-0.15,220,0.94,0.20006372844108625,0.7533908171093657,-0.07850485000299415
pi,-0.15,220,0.96,0.23127204764808454,0.9786295701792381,0.025750527861450073
K,-0.15,220,0.96,0.20006372844108625,0.7516715803288567,-0.07649795480284775
pi,-0.15,220,0.98,0.23127204764808454,0.9820532900079828,0.027423185140570728
K,-0.15,220,0.98,0.20006372844108625,0.7501851672559228,-0.07436768634113758
pi,-0.15,220,1.0,0.23127204764808454,0.9855312347850924,0.029163687001220018
K,-0.15,220,1.0,0.20006372844108625,0.7489325116496146,-0.07212790447189685
pi,-0.15,220,1.02,0.23127204764808454,0.9890624478028957,0.030973196747738536
K,-0.15,220,1.02,0.20006372844108625,0.7479139804852343,-0.0697920137799221
pi,-0.15,220,1.04,0.23127204764808454,0.9926459572845585,0.032852865163868185
K,-0.15,220,1.04,0.20006372844108625,0.7471294065015041,-0.06737294698013821
pi,-0.15,220,1.06,0.23127204764808454,0.996280776596646,0.03480383041715399
K,-0.15,220,1.06,0.20006372844108625,0.7465781249529498,-0.06488315465249658
pi,-0.15,220,1.08,0.23127204764808454,0.9999659044620584,0.036827217965476416
K,-0.15,220,1.08,0.20006372844108625,0.746259012427726,-0.06233460033167152
pi,-0.15,220,1.1,0.23127204764808454,1.0037003251731582,0.03892414046630394
K,-0.15,220,1.1,0.20006372844108625,0.7461705262294597,-0.059738760094908964
pi,-0.15,220,1.12,0.23127204764808454,1.0074830088049225,0.04109569768914501
K,-0.15,220,1.12,0.20006372844108625,0.7463107432794015,-0.0571066259026264
pi,-0.15,220,1.14,0.23127204764808454,1.0113129114279398,0.04334297643158971
K,-0.15,220,1.14,0.20006372844108625,0.7466773978257667,-0.05444871204599662
pi,-0.15,220,1.16,0.23127204764808454,1.0151889753210857,0.0456670504392588
K,-0.15,220,1.16,0.20006372844108625,0.747267917487228,-0.05177506414496941
pi,-0.15,220,1.18,0.23127204764808454,1.0191101291836993,0.04806898032991761
K,-0.15,220,1.18,0.20006372844108625,0.7480794573322919,-0.04909527022016667
pi,-0.15,220,1.2,0.23127204764808454,1.0230752883470975,0.050549813521963395
K,-0.15,220,1.2,0.20006372844108625,0.7491089318235663,-0.046418473433960605
pi,-0.15,220,1.22,0.23127204764808454,1.027083354985252,0.05311058416745288
K,-0.15,220,1.22,0.20006372844108625,0.7503530445482528,-0.04375338616093419
pi,-0.15,220,1.24,0.23127204764808454,1.031133218324469,0.05575231308980183
K,-0.15,220,1.24,0.20006372844108625,0.7518083157227382,-0.041108305107019044
pi,-0.15,220,1.26,0.23127204764808454,1.035223754851894,0.05847600772626038
K,-0.15,220,1.26,0.20006372844108625,0.7534711075064742,-0.03849112725110608
pi,-0.15,220,1.28,0.23127204764808454,1.039353828522694,0.061282662075241565
K,-0.15,220,1.28,0.20006372844108625,0.7553376471933176,-0.03590936643421407
pi,-0.15,220,1.3,0.23127204764808454,1.0435222909657376,0.06417325664855991
K,-0.15,220,1.3,0.20006372844108625,0.7574040483707898,-0.03337017047096044
pi,-0.15,220,1.32,0.23127204764808454,1.0477279816876266,0.06714875842861823
K,-0.15,220,1.32,0.20006372844108625,0.7596663301519159,-0.03088033870804963
pi,-0.15,220,1.34,0.23127204764808454,1.0519697282749096,0.07021012083056609
K,-0.15,220,1.34,0.20006372844108625,0.7621204345925603,-0.0284463400073074
pi,-0.15,220,1.36,0.23127204764808454,1.0562463465943284,0.07335828366943672
K,-0.15,220,1.36,0.20006372844108625,0.7647622424109126,-0.026074331189873186
pi,-0.15,220,1.38,0.23127204764808454,1.0605566409909355,0.07659417313226147
K,-0.15,220,1.38,0.20006372844108625,0.7675875871262017,-0.02377017604838112
pi,-0.15,220,1.4,0.23127204764808454,1.064899404483937,0.07991870175514469
K,-0.15,220,1.4,0.20006372844108625,0.7705922677316612,-0.02153946512251237
pi,-0.15,220,1.42,0.23127204764808454,1.0692734189601054,0.08333276840527788
K,-0.15,220,1.42,0.20006372844108625,0.7737720600128865,-0.019387536551120157
pi,-0.15,220,1.44,0.23127204764808454,1.0736774553646118,0.08683725826786007
K,-0.15,220,1.44,0.20006372844108625,0.7771227266174333,-0.017319498478470686
pi,-0.15,220,1.46,0.23127204764808454,1.0781102738891397,0.09043304283788518
K,-0.15,220,1.46,0.20006372844108625,0.7806400259751272,-0.015340253730946675
pi,-0.15,220,1.48,0.23127204764808454,1.08257062415713,0.09412097991674973
K,-0.15,220,1.48,0.20006372844108625,0.7843197201611649,-0.013454527840612743
pi,-0.15,220,1.5,0.23127204764808454,1.0870572454060012,0.09790191361362935
K,-0.15,220,1.5,0.20006372844108625,0.7881575817856821,-0.011666902054323943
pi,-0.15,220,1.52,0.23127204764808454,1.091568866666257,0.10177667435156715
K,-0.15,220,1.52,0.20006372844108625,0.7921493999836802,-0.009981853877021524
pi,-0.15,220,1.54,0.23127204764808454,1.09610420693726,0.10574607887820943
K,-0.15,220,1.54,0.20006372844108625,0.7962909855674519,-0.008403809228169861
pi,-0.15,220,1.56,0.23127204764808454,1.1006619753596176,0.10981093028112425
K,-0.15,220,1.56,0.20006372844108625,0.8005781753885971,-0.00693721297772806
pi,-0.15,220,1.58,0.23127204764808454,1.105240871384001,0.11397201800763032
K,-0.15,220,1.58,0.20006372844108625,0.8050068359360665,-0.005586629592861245
pi,-0.15,220,1.6,0.23127204764808454,1.1098395849362788,0.11823011788906325
K,-0.15,220,1.6,0.20006372844108625,0.8095728661660092,-0.004356895377249182
pi,-0.15,220,1.62,0.23127204764808454,1.11445679657884,0.12258599216939958
K,-0.15,220,1.62,0.20006372844108625,0.8142721995101517,-0.0032533644512297948
pi,-0.15,220,1.64,0.23127204764808454,1.1190911776679757,0.12704038953815971
K,-0.15,220,1.64,0.20006372844108625,0.8191008049252183,-0.0022823389572447245
pi,-0.15,220,1.66,0.23127204764808454,1.1237413905072002,0.1315940451675063
K,-0.15,220,1.66,0.20006372844108625,0.8240546866917254,-0.0014519031979348136
pi,-0.15,220,1.68,0.23127204764808454,1.1284060884963842,0.13624768075345023
K,-0.15,220,1.68,0.20006372844108625,0.8291298823694524,-0.0007738014825222894
pi,-0.15,220,1.7,0.23127204764808454,1.133083916276588,0.1410020045610797
K,-0.15,220,1.7,0.20006372844108625,0.8343224576882473,-0.0002688965821994358
pi,-0.15,220,1.72,0.23127204764808454,1.1377735098704707,0.14585771147371956
K,-0.15,220,1.72,0.20006372844108625,0.8396284957320972,-3.282105893956088e-7
pi,-0.15,220,1.74,0.23127204764808454,1.1424734968181653,0.15081548304593162
K,-0.15,220,1.74,0.20006372844108625,0.8447993605142303,-0.0
pi,-0.15,220,1.76,0.23127204764808454,1.147182496308503,0.1558759875602612
K,-0.15,220,1.76,0.20006372844108625,0.8498900467373398,-0.0
pi,-0.15,220,1.78,0.23127204764808454,1.151899119305478,0.1610398800876369
K,-0.15,220,1.78,0.20006372844108625,0.8549891094015223,-0.0
pi,-0.15,220,1.8,0.23127204764808454,1.1566219686698467,0.16630780255132788
K,-0.15,220,1.8,0.20006372844108625,0.860133818203206,-0.0
pi,-0.15,220,1.82,0.23127204764808454,1.1613496392757312,0.1716803837943604
K,-0.15,220,1.82,0.20006372844108625,0.8653503946774634,-0.0
pi,-0.15,220,1.84,0.23127204764808454,1.1660807181221682,0.17715823965029914
K,-0.15,220,1.84,0.20006372844108625,0.8706611142916749,-0.0
pi,-0.15,220,1.86,0.23127204764808454,1.17081378443945,0.18274197301729384
K,-0.15,220,1.86,0.20006372844108625,0.8760873439294187,-0.0
pi,-0.15,220,1.88,0.23127204764808454,1.1755474097901797,0.18843217393529174
K,-0.15,220,1.88,0.20006372844108625,0.8816515729786597,-0.0
pi,-0.15,220,1.9,0.23127204764808454,1.180280158164938,0.19422941966631913
K,-0.15,220,1.9,0.20006372844108625,0.8873794451873305,-0.0
pi,-0.15,220,1.92,0.23127204764808454,1.1850105860724582,0.20013427477773066
K,-0.15,220,1.92,0.20006372844108625,0.8933025605843172,-0.0
pi,-0.15,220,1.94,0.23127204764808454,1.1897372426242099,0.2061472912283294
K,-0.15,220,1.94,0.20006372844108625,0.8994633305582088,-0.0
pi,-0.15,220,1.96,0.23127204764808454,1.194458669613297,0.21226900845725538
K,-0.15,220,1.96,0.20006372844108625,0.9059251687613733,-0.0
pi,-0.15,220,1.98,0.23127204764808454,1.1991734015875757,0.2184999534755464
K,-0.15,220,1.98,0.20006372844108625,0.912799422083446,-0.0
pi,-0.15,220,2.0,0.23127204764808454,1.2038799659168715,0.22484064096026984
K,-0.15,220,2.0,0.20006372844108625,0.9203513411529581,-0.0
pi,-0.15,220,2.02,0.23127204764808454,1.2085768828542738,0.23129157335112738
K,-0.15,220,2.02,0.20006372844108625,0.930441680508969,0.0012397748860206149
pi,-0.15,220,2.04,0.23127204764808454,1.2132626655912928,0.23785324094943558
K,-0.15,220,2.04,0.20006372844108625,0.9370844642627997,0.004720621144772982
pi,-0.15,220,2.06,0.23127204764808454,1.217935820306909,0.24452612201938115
K,-0.15,220,2.06,0.20006372844108625,0.9437831293129203,0.007173418398664246
pi,-0.15,220,2.08,0.23127204764808454,1.222594846210338,0.2513106828914586
K,-0.15,220,2.08,0.20006372844108625,0.9505345980999159,0.009524332323811599
pi,-0.15,220,2.1,0.23127204764808454,1.2272382355774607,0.25820737806798755
K,-0.15,220,2.1,0.20006372844108625,0.9573358495201915,0.011910015332487565
pi,-0.15,220,2.12,0.23127204764808454,1.2318644737807976,0.2652166503306201
K,-0.15,220,2.12,0.20006372844108625,0.9641839126434567,0.014380870073737288
pi,-0.15,220,2.14,0.23127204764808454,1.236472039312962,0.27233893084973854
K,-0.15,220,2.14,0.20006372844108625,0.9710758615066747,0.016961340974745394
pi,-0.15,220,2.16,0.23127204764808454,1.2410594038034624,0.27957463929565124
K,-0.15,220,2.16,0.20006372844108625,0.9780088116041749,0.019665198945175662
pi,-0.15,220,2.18,0.23127204764808454,1.2456250320288,0.28692418395149405
K,-0.15,220,2.18,0.20006372844108625,0.9849799173598428,0.022500996732276173
pi,-0.15,220,2.2,0.23127204764808454,1.2501673819157337,0.29438796182774274
K,-0.15,220,2.2,0.20006372844108625,0.9919863701804936,0.025474428962057226
pi,-0.15,220,2.22,0.23127204764808454,1.2546849045376318,0.30196635877824957
K,-0.15,220,2.22,0.20006372844108625,0.999025396866534,0.0285894913262446
pi,-0.15,220,2.24,0.23127204764808454,1.2591760441038082,0.30965974961770915
K,-0.15,220,2.24,0.20006372844108625,1.0060942582509196,0.03184910437452185
pi,-0.15,220,2.26,0.23127204764808454,1.2636392379417505,0.3174684982404684
K,-0.15,220,2.26,0.20006372844108625,1.013190247989641,0.035255473321420545
pi,-0.15,220,2.28,0.23127204764808454,1.2680729164721245,0.32539295774059335
K,-0.15,220,2.28,0.20006372844108625,1.0203106914566817,0.038810307298465
pi,-0.15,220,2.3,0.23127204764808454,1.2724755031764776,0.3334334705331031
K,-0.15,220,2.3,0.20006372844108625,1.0274529447138214,0.04251495907669399
pi,-0.15,220,2.32,0.23127204764808454,1.276845414557513,0.3415903684762911
K,-0.15,220,2.32,0.20006372844108625,1.0346143935361947,0.04637051750378227
pi,-0.15,220,2.34,0.23127204764808454,1.281181060091842,0.3498639729950464
K,-0.15,220,2.34,0.20006372844108625,1.041792452480992,0.050377870643083814
pi,-0.15,220,2.36,0.23127204764808454,1.2854808421751036,0.35825459520509545
K,-0.15,220,2.36,0.20006372844108625,1.048984563990833,0.054537750113482206
pi,-0.15,220,2.38,0.23127204764808454,1.2897431560593335,0.36676253603808323
K,-0.15,220,2.38,0.20006372844108625,1.056188197525961,0.05885076299801115
pi,-0.15,220,2.4,0.23127204764808454,1.2939663897824814,0.37538808636741317
K,-0.15,220,2.4,0.20006372844108625,1.0634008487211655,0.06331741531344715
pi,-0.15,220,2.42,0.23127204764808454,1.2981489240899433,0.3841315271347727
K,-0.15,220,2.42,0.20006372844108625,1.0706200385644675,0.0679381296167296
pi,-0.15,220,2.44,0.23127204764808454,1.3022891323479988,0.3929931294772634
K,-0.15,220,2.44,0.20006372844108625,1.0778433125954001,0.07271325845283357
pi,-0.15,220,2.46,0.23127204764808454,1.306385380449023,0.4019731548550651
K,-0.15,220,2.46,0.20006372844108625,1.0850682401212164,0.07764309479781792
pi,-0.15,220,2.48,0.23127204764808454,1.3104360267083488,0.41107185517956013
K,-0.15,220,2.48,0.20006372844108625,1.0922924134497412,0.08272788029377533
pi,-0.15,220,2.5,0.23127204764808454,1.314439421752634,0.42028947294184643
K,-0.15,220,2.5,0.20006372844108625,1.0995134471378116,0.08796781183596304
pi,-0.15,220,2.52,0.23127204764808454,1.3183939083996163,0.42962624134157135
K,-0.15,220,2.52,0.20006372844108625,1.1067289772544378,0.09336304691265453
pi,-0.15,220,2.54,0.23127204764808454,1.322297821529088,0.4390823844160154
K,-0.15,220,2.54,0.20006372844108625,1.113936660657927,0.09891370798839237
pi,-0.15,220,2.56,0.23127204764808454,1.326149487944958,0.4486581171693638
K,-0.15,220,2.56,0.20006372844108625,1.1211341742863028,0.10461988614453986
pi,-0.15,220,2.58,0.23127204764808454,1.3299472262282444,0.4583536457020991
K,-0.15,220,2.58,0.20006372844108625,1.1283192144604057,0.11048164413653358
pi,-0.15,220,2.6,0.23127204764808454,1.3336893465808313,0.4681691673404524
K,-0.15,220,2.6,0.20006372844108625,1.1354894961991122,0.11649901898805691
pi,-0.15,220,2.62,0.23127204764808454,1.3373741506598236,0.47810487076585073
K,-0.15,220,2.62,0.20006372844108625,1.1426427525461267,0.12267202421379539
pi,-0.15,220,2.64,0.23127204764808454,1.3409999314023313,0.4881609361443058
K,-0.15,220,2.64,0.20006372844108625,1.1497767339078353,0.12900065174139955
pi,-0.15,220,2.66,0.23127204764808454,1.3445649728404965,0.4983375352556815
K,-0.15,220,2.66,0.20006372844108625,1.1568892074017096,0.13548487358758882
pi,-0.15,220,2.68,0.23127204764808454,1.3480675499065722,0.5086348316227837
K,-0.15,220,2.68,0.20006372844108625,1.1639779562147878,0.14212464333153485
pi,-0.15,220,2.7,0.23127204764808454,1.351505928227861,0.5190529806402258
K,-0.15,220,2.7,0.20006372844108625,1.1710407789717245,0.1489198974196777
pi,-0.15,220,2.72,0.23127204764808454,1.354878363911302,0.529592129703006
K,-0.15,220,2.72,0.20006372844108625,1.1780754891119596,0.15587055632925495
pi,-0.15,220,2.74,0.23127204764808454,1.3581831033174918,0.5402524183347543
K,-0.15,220,2.74,0.20006372844108625,1.185079914275523,0.16297652561249162
pi,-0.15,220,2.76,0.23127204764808454,1.3614183828239177,0.5510339783155962
K,-0.15,220,2.76,0.20006372844108625,1.192051895697013,0.1702376968392542
pi,-0.15,220,2.78,0.23127204764808454,1.3645824285771593,0.5619369338095849
K,-0.15,220,2.78,0.20006372844108625,1.1989892876072885,0.17765394845270335
pi,-0.15,220,2.8,0.23127204764808454,1.3676734562338222,0.5729614014916569
K,-0.15,220,2.8,0.20006372844108625,1.205889956642417,0.18522514654989994
pi,-0.15,220,2.82,0.23127204764808454,1.3706896706899354,0.5841074906740674
K,-0.15,220,2.82,0.20006372844108625,1.2127517812594297,0.19295114559726279
pi,-0.15,220,2.84,0.23127204764808454,1.3736292657985545,0.5953753034322603
K,-0.15,220,2.84,0.20006372844108625,1.2195726511584275,0.20083178908912297
pi,-0.15,220,2.86,0.23127204764808454,1.3764904240752724,0.6067649347301327
K,-0.15,220,2.86,0.20006372844108625,1.2263504667105984,0.20886691015628361
pi,-0.15,220,2.88,0.23127204764808454,1.3792713163913597,0.6182764725446572
K,-0.15,220,2.88,0.20006372844108625,1.2330831383916987,0.21705633213041653
pi,-0.15,220,2.9,0.23127204764808454,1.3819701016542092,0.6299099979898175
K,-0.15,220,2.9,0.20006372844108625,1.2397685862205614,0.22539986906923593
pi,-0.15,220,2.92,0.23127204764808454,1.3845849264747696,0.6416655854398231
K,-0.15,220,2.92,0.20006372844108625,1.2464047392021957,0.23389732624666595
pi,-0.15,220,2.94,0.23127204764808454,1.3871139248216173,0.6535433026515767
K,-0.15,220,2.94,0.20006372844108625,1.252989534775041,0.24254850061161362
pi,-0.15,220,2.96,0.23127204764808454,1.3895552176613293,0.6655432108863422
K,-0.15,220,2.96,0.20006372844108625,1.2595209182619462,0.2513531812184617
pi,-0.15,220,2.98,0.23127204764808454,1.391906912584757,0.6776653650305993
K,-0.15,220,2.98,0.20006372844108625,1.265996842324447,0.2603111496319781
pi,-0.15,220,3.0,0.23127204764808454,1.39416710341883,0.6899098137160468
K,-0.15,220,3.0,0.20006372844108625,1.2724152664199166,0.2694221803089882
pi,-0.15,220,3.02,0.23127204764808454,1.3963338698234677,0.7022765994387193
K,-0.15,220,3.02,0.20006372844108625,1.278774156261159,0.2786860409588598
pi,-0.15,220,3.04,0.23127204764808454,1.3984052768731685,0.7147657586772025
K,-0.15,220,3.04,0.20006372844108625,1.2850714832780274,0.28810249288460393
pi,-0.15,220,3.06,0.23127204764808454,1.4003793746228272,0.7273773220099073
K,-0.15,220,3.06,0.20006372844108625,1.2913052240806515,0.29767129130617564
pi,-0.15,220,3.08,0.23127204764808454,1.4022541976573026,0.7401113142313884
K,-0.15,220,3.08,0.20006372844108625,1.2974733599238384,0.30739218566738385
pi,-0.15,220,3.1,0.23127204764808454,1.4040277646242363,0.752967754467676
K,-0.15,220,3.1,0.20006372844108625,1.3035738761722422,0.31726491992765865
pi,-0.15,220,3.12,0.23127204764808454,1.4056980777496006,0.7659466562906024
K,-0.15,220,3.12,0.20006372844108625,1.3096047617658828,0.3272892328397888
pi,-0.15,220,3.14,0.23127204764808454,1.4072631223354268,0.7790480278310993
K,-0.15,220,3.14,0.20006372844108625,1.3155640086855656,0.3374648582146324
pi,-0.15,220,3.16,0.23127204764808454,1.4087208662391344,0.792271871891451
K,-0.15,220,3.16,0.20006372844108625,1.3214496114178311,0.34779152517369255
pi,-0.15,220,3.18,0.23127204764808454,1.4100692593338566,0.8056181860564738
K,-0.15,220,3.18,0.20006372844108625,1.327259566418963,0.3582689583903676
pi,-0.15,220,3.2,0.23127204764808454,1.411306232949126,0.8190869628036224
K,-0.15,220,3.2,0.20006372844108625,1.3329918715776596,0.3688968783206129
pi,-0.15,220,3.22,0.23127204764808454,1.4124296992912497,0.8326781896119833
K,-0.15,220,3.22,0.20006372844108625,1.3386445256759243,0.3796750014236677
pi,-0.15,220,3.24,0.23127204764808454,1.413437550842675,0.846391849070164
K,-0.15,220,3.24,0.20006372844108625,1.3442155278477628,0.39060304037345983
pi,-0.15,220,3.26,0.23127204764808454,1.414327659739605,0.8602279189830435
K,-0.15,220,3.26,0.20006372844108625,1.349702877035229,0.40168070426123204
pi,-0.15,220,3.28,0.23127204764808454,1.4150978771270804,0.8741863724773862
K,-0.15,220,3.28,0.20006372844108625,1.3551045714414056,0.41290769878989886
pi,-0.15,220,3.3,0.23127204764808454,1.4157460324907252,0.888267178106296
K,-0.15,220,3.3,0.20006372844108625,1.3604186079798508,0.4242837264605931
pi,-0.15,220,3.32,0.23127204764808454,1.4162699329643125,0.9024702999525076
K,-0.15,220,3.32,0.20006372844108625,1.3656429817200832,0.43580848675182304
pi,-0.15,220,3.34,0.23127204764808454,1.41666736261215,0.9167956977305024
K,-0.15,220,3.34,0.20006372844108625,1.3707756853286301,0.4474816762916427
pi,-0.15,220,3.36,0.23127204764808454,1.416936081685519,0.9312433268874366
K,-0.15,220,3.36,0.20006372844108625,1.3758147085051882,0.45930298902318256
pi,-0.15,220,3.38,0.23127204764808454,1.4170738258519806,0.9458131387028804
K,-0.15,220,3.38,0.20006372844108625,1.3807580374134147,0.4712721163638871
pi,-0.15,220,3.4,0.23127204764808454,1.4170783053966007,0.9605050803873516
K,-0.15,220,3.4,0.20006372844108625,1.3856036541058714,0.48338874735876075
pi,-0.15,220,3.42,0.23127204764808454,1.4169472043939675,0.9753190951796497
K,-0.15,220,3.42,0.20006372844108625,1.3903495359426323,0.49565256882791403
pi,-0.15,220,3.44,0.23127204764808454,1.4166781798498176,0.9902551224429741
K,-0.15,220,3.44,0.20006372844108625,1.394993655003054,0.508063265508681
pi,-0.15,220,3.46,0.23127204764808454,1.4162688608110598,1.0053130977598284
K,-0.15,220,3.46,0.20006372844108625,1.3995339774901734,0.5206205201925507
pi,-0.15,220,3.48,0.23127204764808454,1.415716847442891,1.0204929530256992
K,-0.15,220,3.48,0.20006372844108625,1.4039684631272478,0.5333240138571541
pi,-0.15,220,3.5,0.23127204764808454,1.4150197100716444,1.0357946165415242
K,-0.15,220,3.5,0.20006372844108625,1.4082950645458583,0.54617342579352
pi,0.0,220,0.3,0.23260893016295725,0.9302372671216032,-0.0
K,0.0,220,0.3,0.20119480741804185,0.7988707147219983,-0.0
pi,0.0,220,0.32,0.23260893016295725,0.931456775646034,-0.0
K,0.0,220,0.32,0.20119480741804185,0.8005382912800841,-0.0
pi,0.0,220,0.34,0.23260893016295725,0.9327888110483296,-0.0
K,0.0,220,0.34,0.20119480741804185,0.8024099260640013,-0.0
pi,0.0,220,0.36,0.23260893016295725,0.9342546545406016,-0.0
K,0.0,220,0.36,0.20119480741804185,0.8045196021062008,-0.0
pi,0.0,220,0.38,0.23260893016295725,0.9359102094832402,-0.0
K,0.0,220,0.38,0.20119480741804185,0.8069128155198227,-0.0
pi,0.0,220,0.4,0.23260893016295725,0.937931150900352,0.00036594168814361495
K,0.0,220,0.4,0.20119480741804185,0.8096523137042542,-0.0
pi,0.0,220,0.42,0.23260893016295725,0.9395525924350513,0.0008294125209711156
K,0.0,220,0.42,0.20119480741804185,0.8128279634267487,-0.0
pi,0.0,220,0.44,0.23260893016295725,0.9412497371246387,0.0012209825049996933
K,0.0,220,0.44,0.20119480741804185,0.8165749471122656,-0.0
pi,0.0,220,0.46,0.23260893016295725,0.9430221055662517,0.0016146572542614652
K,0.0,220,0.46,0.20119480741804185,0.821110547529221,-0.0
pi,0.0,220,0.48,0.23260893016295725,0.9448691972176614,0.0020278010864490264
K,0.0,220,0.48,0.20119480741804185,0.8268187045040074,-0.0
pi,0.0,220,0.5,0.23260893016295725,0.9467904905575367,0.0024681883347758317
K,0.0,220,0.5,0.20119480741804185,0.8344874795686489,-0.0
pi,0.0,220,0.52,0.23260893016295725,0.9487854432448314,0.0029404287290695223
K,0.0,220,0.52,0.20119480741804185,0.8463059082296093,-0.0
pi,0.0,220,0.54,0.23260893016295725,0.9508534922831765,0.0034477663724606753
K,0.0,220,0.54,0.20119480741804185,0.8826231039084096,-0.0
pi,0.0,220,0.56,0.23260893016295725,0.9529940541904517,0.003992755529350834
K,0.0,220,0.56,0.20119480741804185,0.8671926458142134,-0.06242955423823104
pi,0.0,220,0.58,0.23260893016295725,0.9552065251734265,0.004577562523153476
K,0.0,220,0.58,0.20119480741804185,0.8496202977975228,-0.06557087017677173
pi,0.0,220,0.6,0.23260893016295725,0.9574902813073172,0.005204117314772122
K,0.0,220,0.6,0.20119480741804185,0.8404979242147148,-0.06843406115442024
pi,0.0,220,0.62,0.23260893016295725,0.9598446787200934,0.005874196342474379
K,0.0,220,0.62,0.20119480741804185,0.8338654581717608,-0.07100915264592783
pi,0.0,220,0.64,0.23260893016295725,0.9622690537813614,0.006589470813916159
K,0.0,220,0.64,0.20119480741804185,0.8283703664778344,-0.07329001834087207
