channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
pi,0.0,165,1.0072120771238595,-0.0,1.0072120771238595,-0.0,0.0,0.0,0.6830134017486705,0.0,0.13598254673754048,0.13598254673754048
pi,0.0,170,1.010133948867333,-0.0,1.010133948867333,-0.0,0.0,0.0,0.6823536310767341,0.0,0.23141317287698313,0.23141317287698313
pi,0.0,175,1.0151574717733867,-0.0,1.0151574717733867,-0.0,0.0,0.0,0.6823351272479342,0.0,0.3570772159944237,0.3570772159944237
pi,0.0,180,1.0201489085400255,-0.0,1.0201489085400255,-0.0,0.0,0.0,0.6839282090907208,0.0,0.4360028762798077,0.4360028762798077
pi,0.0,185,1.0255605287022478,-0.0,1.0255605287022478,-0.0,0.0,0.0,0.6880125037925536,0.0,0.4922410571922315,0.4922410571922315
pi,0.0,190,1.031746339189094,-0.0,1.031746339189094,-0.0,0.0,0.0,0.6969077238133149,0.0,0.5368059789366919,0.5368059789366919
pi,0.0,195,1.0388730920714464,-0.0,1.0388730920714464,-0.0,0.0,0.0,0.7159446100654867,0.0,0.5739554173808211,0.5739554173808211
pi,0.0,200,1.0467481082172534,-0.0,1.0467481082172534,-0.0,0.0,0.0,0.7561782817594465,0.0,0.6053204265570566,0.6053204265570566
pi,0.0,205,1.0544711846621981,-0.0,1.0544711846621981,-0.0,0.0,0.0,0.8221234079213023,0.0,0.6311483358094248,0.6311483358094248
pi,0.0,210,1.061387561899058,-7.417953811000202e-15,1.061387561899058,-7.417953811000202e-15,0.0,0.0,0.9088104342996239,0.17727840890142113,0.6522911882693098,0.6522911882693098
pi,0.0,215,1.0679943372978327,2.6533369048161086e-15,1.0679943372978327,2.6533369048161086e-15,0.0,0.0,1.0686156922830667,0.32830578593591847,0.6705374366358714,0.6705374366358715
pi,0.0,220,1.074765271586344,8.858517488257278e-16,1.074765271586344,8.858517488257278e-16,0.0,0.0,1.2211375422473651,0.4569941009104259,0.6869411600437796,0.6869411600437796
