# script=scripts/analysis/relaxtime/meson_mixed/run_globalmin_window_experiment.jl
# window.xi=-0.3
# window.T_MeV=[220,280]
# merged_from=mixed_window_globalmin_xi-0p3_muB0,mixed_window_globalmin_xi-0p3_muB0_next2
# merged_at_utc=2026-04-17T13:43:22Z
lib,T_MeV,muB_MeV,xi,global_seed_mass,global_seed_gamma,global_obj,M_eta,M_eta_prime,Gamma_eta,Gamma_eta_prime,residual_eta,residual_eta_prime,selected_method_eta,selected_method_eta_prime,status,error_message
evolutionary,262.0,0.0,-0.3,3.3,3.0,1.3422422895370545e-16,2.94884235554277,2.89995595030343,1.4026587580824748,2.695002709874126,1.5333290193098037e-12,3.220080452281948e-16,trust_region,newton,ok,
evolutionary,264.0,0.0,-0.3,3.3,2.9714915967843085,1.0191500421363742e-16,2.9708524166784414,2.922463314546627,1.5175843461462881,2.7361552310425092,6.24986173924924e-14,4.163336342344337e-17,trust_region,newton,ok,
evolutionary,266.0,0.0,-0.3,3.3,2.5223461423043894,1.5959455978986625e-16,2.9932770659031323,2.9451777410160767,1.6266465396236474,2.7782139230925496,1.0269562977782698e-15,1.5959455978986625e-16,trust_region,newton,ok,
evolutionary,268.0,0.0,-0.3,2.2,2.7336508913280264,9.194034422677078e-17,3.016086065055308,2.968092244191741,1.731004876140944,2.8211812333196815,2.230854390106174e-15,4.107978297373388e-9,trust_region,newton,ok,
evolutionary,270.0,0.0,-0.3,2.6077151452365417,2.3657729376277374,4.371503159461554e-16,3.039249267240966,2.9911986713664875,1.8315135072789537,2.865057268183023,5.3013149425851225e-15,4.614364446098307e-16,trust_region,newton,ok,
evolutionary,272.0,0.0,-0.3,2.2,3.0,6.505213034913027e-16,3.06273686915275,3.014487711879967,1.9288232089570332,2.909839539433771,3.71057351511439e-15,1.2247147740396258e-14,trust_region,newton,ok,
evolutionary,274.0,0.0,-0.3,3.3,2.2985610266135206,1.5959455978986625e-16,3.086519628764213,3.0379492655861475,2.0234433278669552,2.9555236709721107,1.739580701709542e-14,3.903127820947816e-16,trust_region,newton,ok,
evolutionary,276.0,0.0,-0.3,2.6964582955509875,2.4868210487746976,2.220446049250313e-16,3.1105690470120217,3.061572521675054,2.1157813426534586,3.00210340057847,6.369210714396445e-14,3.95516952522712e-16,trust_region,newton,ok,
evolutionary,278.0,0.0,-0.3,2.2,2.0808336890694505,3.235259282696745e-16,3.1348575142139814,3.085346135482716,2.206169186826672,3.0495708602677656,2.318284453295405e-14,3.8424124992886277e-16,trust_region,newton,ok,
evolutionary,280.0,0.0,-0.3,2.5691142525774495,2.766665238401731,3.885780586188048e-16,3.1593584233350716,3.1092583726672354,2.2948813716309853,3.0979167989555143,4.3194614551822497e-16,3.885780586188048e-16,trust_region,newton,ok,
cmaes,220.0,0.0,-0.3,2.8,2.3,0.017697877046278915,3.186262862437107,3.0607133857231315,0.004705518855510104,0.41667595089201265,5.9136098795598e-12,0.017697877045989043,trust_region,trust_region,ok,
cmaes,222.0,0.0,-0.3,3.0607133857231315,0.41667595089201265,0.03322506089968431,3.1709718221866856,3.0523412322508046,0.004000688395821475,0.46773449153764174,1.4262744353621404e-9,0.017597951592099367,trust_region,trust_region,ok,
cmaes,224.0,0.0,-0.3,3.0523412322508046,0.46773449153764174,0.034422302498877205,3.155060004150907,3.033064864196748,0.003417100436321785,0.50548083217294,9.17333223271477e-12,0.01894825196736427,trust_region,trust_region,ok,
cmaes,226.0,0.0,-0.3,3.033064864196748,0.50548083217294,0.035562871598844345,3.1384468084944928,3.0026954280273284,0.0029299654696886826,0.5286493602852911,1.5716594692349872e-14,0.021586829352279912,current,trust_region,ok,
cmaes,228.0,0.0,-0.3,3.0026954280273284,0.5286493602852911,0.03666624538334986,3.1210398580687757,2.985582561106135,0.0025204168628069146,0.5738659683840881,3.5915714846623814e-14,0.022659432798304475,current,trust_region,ok,
cmaes,230.0,0.0,-0.3,2.985582561106135,0.5738659683840881,0.038118469363217514,3.1027296137331613,2.964420848020067,0.002173865549799909,0.6153539185696113,7.91033905045424e-16,0.02430584655867674,current,trust_region,ok,
cmaes,232.0,0.0,-0.3,2.964420848020067,0.6153539185696113,0.0393294725812388,3.0833826579587202,2.9411358420840936,0.0018789001112750829,0.6558806532175201,3.653674585102351e-14,0.026320794297980572,current,trust_region,ok,
cmaes,234.0,0.0,-0.3,2.9411358420840936,0.6558806532175201,0.040556745160631846,3.0628328274540375,2.917194126075502,0.0016264940708838073,0.697794234216868,2.0393409183583344e-13,0.02849513034606853,current,trust_region,ok,
