method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,0.0,5.0,1.428125,353.012792,1,fine_grid
independent_oracle,0.0,5.0,1.43125,352.940565,0,coarse_grid
independent_oracle,0.0,5.0,1.434375,352.868545,1,fine_grid
independent_oracle,0.0,5.0,1.4375,352.796736,0,coarse_grid
independent_oracle,0.0,5.0,1.440625,352.725139,1,fine_grid
independent_oracle,0.0,5.0,1.44375,352.653759,0,coarse_grid
independent_oracle,0.0,5.0,1.446875,352.582596,1,fine_grid
independent_oracle,0.0,5.0,1.45,352.511655,0,coarse_grid
independent_oracle,0.0,5.0,1.453125,352.440937,1,fine_grid
independent_oracle,0.0,5.0,1.45625,352.370447,0,coarse_grid
independent_oracle,0.0,5.0,1.459375,352.300186,1,fine_grid
independent_oracle,0.0,5.0,1.4625,352.230157,0,coarse_grid
independent_oracle,0.0,5.0,1.465625,352.160364,1,fine_grid
independent_oracle,0.0,5.0,1.46875,352.090809,0,coarse_grid
independent_oracle,0.0,5.0,1.471875,352.021495,1,fine_grid
independent_oracle,0.0,5.0,1.475,351.952426,0,coarse_grid
independent_oracle,0.0,5.0,1.478125,351.883603,1,fine_grid
independent_oracle,0.0,5.0,1.48125,351.815031,0,coarse_grid
independent_oracle,0.0,5.0,1.484375,351.746711,1,fine_grid
independent_oracle,0.0,5.0,1.4875,351.678648,0,coarse_grid
independent_oracle,0.0,5.0,1.490625,351.610844,1,fine_grid
independent_oracle,0.0,5.0,1.49375,351.543302,0,coarse_grid
independent_oracle,0.0,5.0,1.496875,351.476026,1,fine_grid
independent_oracle,0.0,5.0,1.5,351.409019,0,coarse_grid
independent_oracle,0.0,5.0,1.503125,351.342283,1,fine_grid
independent_oracle,0.0,5.0,1.50625,351.275823,0,coarse_grid
independent_oracle,0.0,5.0,1.509375,351.20964,1,fine_grid
independent_oracle,0.0,5.0,1.5125,351.14374,0,coarse_grid
independent_oracle,0.0,5.0,1.515625,351.078124,1,fine_grid
independent_oracle,0.0,5.0,1.51875,351.012796,0,coarse_grid
independent_oracle,0.0,5.0,1.521875,350.947759,1,fine_grid
independent_oracle,0.0,5.0,1.525,350.883018,0,coarse_grid
independent_oracle,0.0,5.0,1.528125,350.818575,1,fine_grid
independent_oracle,0.0,5.0,1.53125,350.754433,0,coarse_grid
independent_oracle,0.0,5.0,1.534375,350.690597,1,fine_grid
independent_oracle,0.0,5.0,1.5375,350.627069,0,coarse_grid
independent_oracle,0.0,5.0,1.540625,350.563853,1,fine_grid
independent_oracle,0.0,5.0,1.54375,350.500953,0,coarse_grid
independent_oracle,0.0,5.0,1.546875,350.438372,1,fine_grid
independent_oracle,0.0,5.0,1.55,350.376114,0,coarse_grid
independent_oracle,0.0,5.0,1.553125,350.314182,1,fine_grid
independent_oracle,0.0,5.0,1.55625,350.25258,0,coarse_grid
independent_oracle,0.0,5.0,1.559375,350.191312,1,fine_grid
independent_oracle,0.0,5.0,1.5625,350.130382,0,coarse_grid
independent_oracle,0.0,5.0,1.565625,350.069792,1,fine_grid
independent_oracle,0.0,5.0,1.56875,350.009548,0,coarse_grid
independent_oracle,0.0,5.0,1.571875,349.949652,1,fine_grid
independent_oracle,0.0,5.0,1.575,349.890109,0,coarse_grid
independent_oracle,0.0,5.0,1.578125,349.830923,1,fine_grid
independent_oracle,0.0,5.0,1.58125,349.772096,0,coarse_grid
independent_oracle,0.0,5.0,1.584375,349.713634,1,fine_grid
independent_oracle,0.0,5.0,1.5875,349.65554,0,coarse_grid
independent_oracle,0.0,5.0,1.590625,349.597819,1,fine_grid
independent_oracle,0.0,5.0,1.59375,349.540473,0,coarse_grid
independent_oracle,0.0,5.0,1.596875,349.483507,1,fine_grid
independent_oracle,0.0,5.0,1.6,349.426926,0,coarse_grid
independent_oracle,0.0,5.0,1.603125,349.370733,1,fine_grid
independent_oracle,0.0,5.0,1.60625,349.314933,0,coarse_grid
independent_oracle,0.0,5.0,1.609375,349.259529,1,fine_grid
independent_oracle,0.0,5.0,1.6125,349.204526,0,coarse_grid
independent_oracle,0.0,5.0,1.615625,349.149928,1,fine_grid
independent_oracle,0.0,5.0,1.61875,349.095739,0,coarse_grid
independent_oracle,0.0,5.0,1.621875,349.041963,1,fine_grid
independent_oracle,0.0,5.0,1.625,348.988605,0,coarse_grid
independent_oracle,0.0,5.0,1.628125,348.93567,1,fine_grid
independent_oracle,0.0,5.0,1.63125,348.883161,0,coarse_grid
independent_oracle,0.0,5.0,1.634375,348.831082,1,fine_grid
independent_oracle,0.0,5.0,1.6375,348.779439,0,coarse_grid
independent_oracle,0.0,5.0,1.640625,348.728236,1,fine_grid
independent_oracle,0.0,5.0,1.64375,348.677476,0,coarse_grid
independent_oracle,0.0,5.0,1.646875,348.627166,1,fine_grid
independent_oracle,0.0,5.0,1.65,348.577308,0,coarse_grid
independent_oracle,0.0,5.0,1.653125,348.527908,1,fine_grid
independent_oracle,0.0,5.0,1.65625,348.478971,0,coarse_grid
independent_oracle,0.0,5.0,1.659375,348.4305,1,fine_grid
