sqrt_s_NN_GeV,background_p,channel,q_inv_fm,route,bound,unitary,landau,shell_inv_fm2,gap_count,contour_count,contour_passed,static_passed,root_nodes_stable,levinson_residual,threshold_phase_over_pi,threshold_offset,threshold_phase_at_1e7_over_pi,threshold_limit_change,threshold_limit_passed,upper_phase,branch_passed,reference_boundary_passed,failed_gates,passed,status,production_authorized
200.0,48,K_plus,2.2648259694958197,direct_finite_q,0.003443949805300634,-0.0011257446579737507,1.482657245177341e-8,0.0006024133321294863,1,1,true,true,true,-2.4867912395976077e-8,0.9999999751320876,1.0e-10,0.9999751360934253,2.2381060864769687e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,2.7398292812153464,direct_finite_q,0.002212130375821323,-0.0010808552052815493,1.6741271760256266e-8,0.0004302213380261948,1,1,true,true,true,-4.628077576729339e-8,0.9999999537192242,1.0e-10,0.9999537320951596,4.1652498167100816e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,3.2355245301055344,direct_finite_q,0.0014517773329578178,-0.000983666210963863,1.7273317424433602e-8,0.0002482702247920606,1,1,true,true,true,-1.255022848978271e-7,0.9999998744977151,1.0e-10,0.999874582356197,1.1295067447667931e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,3.7437724285495775,direct_finite_q,0.0009745276822499232,-0.0008373660933992218,1.6603236906540392e-8,9.740342245673331e-5,1,1,true,true,true,-1.9592428661785455e-5,0.9999804075713382,1.0e-10,0.982018912298184,0.00017602476473665935,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,4.256227571450422,direct_finite_q,0.0,2.421037993745203e-5,1.510225078344026e-8,2.223270832595265e-5,0,0,true,true,true,3.618653424682063e-7,3.618653424682063e-7,1.0e-10,0.0003622892379786735,3.2568787127085045e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,4.764475469894466,direct_finite_q,0.0,3.0285213382491145e-6,1.31530510644064e-8,3.49794656302829e-6,0,0,true,true,true,5.620133232941486e-7,5.620133232941486e-7,1.0e-10,0.0003390427228611301,5.058273099466994e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,5.260170718784654,direct_finite_q,0.0,2.217101839236663e-7,1.1076806910932171e-8,3.263086932941741e-7,0,0,true,true,true,-3.633993535844119e-9,-3.633993535844119e-9,1.0e-10,-1.6420740125790513e-6,3.27059364095809e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,5.73517403050418,direct_finite_q,0.0,3.6690269296319124e-9,9.104334207947243e-9,2.1284754809908852e-8,0,0,true,true,true,-8.762566777405525e-10,-8.762566777405525e-10,1.0e-10,-8.762549417911281e-7,7.886309631204781e-9,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,6.181685885555359,direct_finite_q,0.0,-4.369278200369351e-11,7.3705196603708284e-9,1.418404352412615e-8,0,0,true,true,true,-1.6447239054725676e-11,-1.6447239054725676e-11,1.0e-10,-1.6447235023995256e-8,1.480251511417861e-10,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,6.592374607747902,direct_finite_q,0.0,-2.6240353805332238e-11,5.89630222054903e-9,1.2923992378605804e-8,0,0,true,true,true,-1.428940874311278e-11,-1.428940874311278e-11,1.0e-10,-1.4289405553103571e-8,1.2860467842347506e-10,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,6.960496766314217,direct_finite_q,0.0,-1.6615619234857418e-11,4.713899492751115e-9,1.1529156593082327e-8,0,0,true,true,true,-1.2575888230790536e-11,-1.2575888230790536e-11,1.0e-10,-1.2575885529273744e-8,1.1318299387235481e-10,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,7.280007943895612,direct_finite_q,0.0,-1.1179718674517413e-11,3.819587451894113e-9,1.0225331669755107e-8,0,0,true,true,true,-1.1243544322541331e-11,-1.1243544322541331e-11,1.0e-10,-1.1243542058346641e-8,1.0119189873929212e-10,true,0.0,true,true,,true,conditional_window,false
