window_id,mode_key,plot_panel,plot_series,observable,anchor_left_xi,anchor_right_xi,interior_point_count,source_roughness,candidate_roughness,roughness_ratio,changed_point_count,max_abs_relative_change,action,reason,canonical_data_modified
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,eta_over_s,0.4600000000,0.5000000000,3,1.405020688094436,0.8439220567194234,0.6006474238212076,3,0.00412412858436282,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,zeta_over_s,0.4600000000,0.5000000000,3,1.433535017013091,0.8308189509692618,0.5795595790191115,3,0.003775286757771008,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,sigma_over_T,0.4600000000,0.5000000000,3,1.561674282095281,0.9462414188020705,0.6059147093928633,3,0.005115957114794358,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_u,0.4600000000,0.5000000000,3,1.7118069320832245,1.0162391570725986,0.5936645880010907,3,0.0057290608238414675,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_d,0.4600000000,0.5000000000,3,1.7118069320832245,1.0162391570725986,0.5936645880010907,3,0.0057290608238414675,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_s,0.4600000000,0.5000000000,3,1.033063587748927,0.44645189546803987,0.4321630350372434,3,0.0031334559758252247,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_ubar,0.4600000000,0.5000000000,3,1.7118069320834968,1.016239157073203,0.5936645880013494,3,0.005729060823859592,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_dbar,0.4600000000,0.5000000000,3,1.7118069320834968,1.016239157073203,0.5936645880013494,3,0.005729060823859592,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,tau_sbar,0.4600000000,0.5000000000,3,1.033063587749088,0.4464518954678234,0.43216303503696646,3,0.003133455975828469,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,eta,0.4600000000,0.5000000000,3,1.3963781660429546,0.8440256892167919,0.6044391911458951,3,0.0041222226026190615,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,sigma,0.4600000000,0.5000000000,3,1.561674282095281,0.9462414188021593,0.6059147093929201,3,0.0051159571147942695,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p1_xip0p48_window,mode_a,muB0.0,alpha1.1,zeta,0.4600000000,0.5000000000,3,1.4220082821153666,0.8304899515397635,0.584026100258948,3,0.003773380108387589,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,eta_over_s,0.3300000000,0.3700000000,3,1.299639396438045,0.9357044077842316,0.7199723325937492,3,0.0021207172160679715,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,zeta_over_s,0.3300000000,0.3700000000,3,1.3472221225833145,0.9216670553449773,0.6841240504406725,3,0.0020938027651491663,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,sigma_over_T,0.3300000000,0.3700000000,3,1.626067641940397,1.1593113530373942,0.7129539529204213,3,0.002681703564376805,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_u,0.3300000000,0.3700000000,3,1.6977451274214612,1.218850032513529,0.7179228571044235,3,0.0029048508102682584,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_d,0.3300000000,0.3700000000,3,1.6977451274214612,1.218850032513529,0.7179228571044235,3,0.0029048508102682584,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_s,0.3300000000,0.3700000000,3,0.33360718919274845,0.22070130560394952,0.6615604002359636,3,0.0005631882152886706,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_ubar,0.3300000000,0.3700000000,3,2.824686632272903,1.9041635335080285,0.6741149661531943,3,0.004403789552943996,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_dbar,0.3300000000,0.3700000000,3,2.824686632272903,1.9041635335080285,0.6741149661531943,3,0.004403789552943996,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,tau_sbar,0.3300000000,0.3700000000,3,0.7472909473510192,0.4863491896009138,0.6508163805876598,3,0.001281802408183868,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,eta,0.3300000000,0.3700000000,3,1.310713682562191,0.9364727746736572,0.7144754702209521,3,0.0021234480118796375,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,sigma,0.3300000000,0.3700000000,3,1.6260676419403082,1.159311353037483,0.7129539529205148,3,0.0026817035643768613,applied,roughness_guard_passed,False
