T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
55.000000,2.750000,0.000000,361.559860,361.559860,361.559860,361.559860,21.653391,0.398100,-19.123810,-0.198316,-0.198316,-2.070053,0.066815,0.083173,43.889643,43.889643,463.242897,3,0.000000,true,
55.000000,2.700000,0.000000,359.772576,359.772576,359.772576,359.772576,21.641543,0.396590,-19.168097,-0.209878,-0.209878,-2.070495,0.066380,0.082787,46.129394,46.129394,463.398424,3,0.000000,true,
55.000000,2.650000,0.000000,358.056561,358.056561,358.056561,358.056561,21.630376,0.394765,-19.212258,-0.222577,-0.222577,-2.070967,0.065907,0.082409,48.589677,48.589677,463.572942,3,0.000000,true,
55.000000,2.600000,0.000000,356.414456,356.414456,356.414456,356.414456,21.619890,0.392576,-19.256316,-0.236550,-0.236550,-2.071479,0.065392,0.082031,51.297162,51.297162,463.770719,3,0.000000,true,
55.000000,2.550000,0.000000,354.850497,354.850497,354.850497,354.850497,21.610093,0.389987,-19.300291,-0.251950,-0.251950,-2.072043,0.064835,0.081645,54.281135,54.281135,463.996820,3,0.000000,true,
55.000000,2.500000,0.000000,353.370749,353.370749,353.370749,353.370749,21.601003,0.386970,-19.344200,-0.268936,-0.268936,-2.072670,0.064233,0.081248,57.573020,57.573020,464.257231,3,0.000000,true,
55.000000,2.450000,0.000000,351.983249,351.983249,351.983249,351.983249,21.592649,0.383506,-19.388059,-0.287676,-0.287676,-2.073375,0.063588,0.080832,61.205398,61.205398,464.558957,3,0.000000,true,
55.000000,2.400000,0.000000,350.697991,350.697991,350.697991,350.697991,21.585066,0.379583,-19.431883,-0.308335,-0.308335,-2.074175,0.062900,0.080396,65.210369,65.210369,464.910060,3,0.000000,true,
55.000000,2.350000,0.000000,349.526655,349.526655,349.526655,349.526655,21.578298,0.375197,-19.475687,-0.331062,-0.331062,-2.075088,0.062170,0.079935,69.617091,69.617091,465.319575,3,0.000000,true,
55.000000,2.300000,0.000000,348.481971,348.481971,348.481971,348.481971,21.572388,0.370350,-19.519484,-0.355974,-0.355974,-2.076134,0.061401,0.079448,74.448515,74.448515,465.797261,3,0.000000,true,
55.000000,2.250000,0.000000,347.576638,347.576638,347.576638,347.576638,21.567377,0.365049,-19.563290,-0.383133,-0.383133,-2.077332,0.060596,0.078930,79.717559,79.717559,466.353117,3,0.000000,true,
55.000000,2.200000,0.000000,346.821805,346.821805,346.821805,346.821805,21.563290,0.359308,-19.607117,-0.412535,-0.412535,-2.078701,0.059757,0.078381,85.423371,85.423371,466.996685,3,0.000000,true,
