xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
-0.1625,265.84862033035677,268.0965808448796,137.58846271042327,136.53125,2.2479605145228447,-1.057212710423272,added_boundary_constrained_display_endpoint
-0.15625,265.84862033035677,269.08133483060635,137.84872283584397,136.3125,3.2327145002495854,-1.5362228358439722,added_boundary_constrained_display_endpoint
-0.15,267.44320332937326,270.06608881633304,137.34499687710993,136.09375,2.622885486959774,-1.251246877109935,added_boundary_constrained_display_endpoint
-0.14375,267.44320332937326,270.9733768238739,137.60393889887098,135.90625,3.530173494500616,-1.6976888988709788,added_boundary_constrained_display_endpoint
-0.1375,268.92000904914806,271.88066483141466,137.1540824950239,135.71875,2.960655782266599,-1.4353324950239141,added_boundary_constrained_display_endpoint
-0.13125,268.92000904914806,272.83610328690486,137.40821435751133,135.5,3.916094237756795,-1.9082143575113264,added_boundary_constrained_display_endpoint
-0.125,270.46750439893697,273.7915417423951,136.9136372475779,135.28125,3.3240373434581443,-1.6323872475778956,added_boundary_constrained_display_endpoint
-0.11875,270.46750439893697,274.6716370495886,137.1641476742941,135.09375,4.204132650651616,-2.0703976742940995,added_boundary_constrained_display_endpoint
-0.1125,271.9004873648606,275.55173235678205,136.7189463402367,134.90625,3.6512449919214305,-1.8126963402366982,added_boundary_constrained_display_endpoint
-0.10625,271.9004873648606,276.47929305246896,136.9633567582992,134.6875,4.578805687608337,-2.2758567582991986,added_boundary_constrained_display_endpoint
-0.1,273.38593530219055,277.40685374815587,136.48149589095428,134.46875,4.0209184459653216,-2.012745890954278,added_boundary_constrained_display_endpoint
-0.09375,273.38593530219055,278.284471296027,136.72724979573343,134.265625,4.898535993836447,-2.461624795733428,added_boundary_constrained_display_endpoint
-0.0875,273.38593530219055,279.1620888438981,136.97300370051255,134.0625,5.776153541707572,-2.9105037005125496,added_boundary_constrained_display_endpoint
-0.08125,273.38593530219055,280.03970639176924,137.21875760529167,133.859375,6.653771089578697,-3.359382605291671,added_boundary_constrained_display_endpoint
-0.075,276.2545796646466,280.91732393964037,136.0408128317492,133.65625,4.66274427499377,-2.384562831749207,added_boundary_constrained_display_endpoint
-0.06875,276.2545796646466,281.7986961237606,136.28005219605035,133.4375,5.5441164591139795,-2.842552196050349,added_boundary_constrained_display_endpoint
-0.0625,276.2545796646466,282.6800683078808,136.51929156035152,133.21875,6.425488643234189,-3.300541560351519,added_boundary_constrained_display_endpoint
-0.05625,276.2545796646466,283.56144049200094,136.7585309246527,133.0,7.306860827354342,-3.758530924652689,added_boundary_constrained_display_endpoint
-0.05,279.1117848357144,284.44281267612115,135.5689897998753,132.78125,5.331027840406762,-2.787739799875311,added_boundary_constrained_display_endpoint
-0.04375,279.1117848357144,285.3051376426985,135.80268204915208,132.5625,6.193352806984137,-3.2401820491520823,added_boundary_constrained_display_endpoint
-0.0375,280.5098584130912,286.16746260927584,135.33255325399526,132.34375,5.65760419618465,-2.9888032539952576,added_boundary_constrained_display_endpoint
-0.03125,280.5098584130912,287.01745059216796,135.56362867802588,132.125,6.507592179076767,-3.4386286780258786,added_boundary_constrained_display_endpoint
-0.025,281.8881603682182,287.86743857506013,135.0951698259283,131.90625,5.9792782068419115,-3.188919825928309,added_boundary_constrained_display_endpoint
-0.01875,281.8881603682182,288.7053469453319,135.19776401426574,131.6875,6.8171865771136595,-3.5102640142657435,added_boundary_constrained_display_endpoint
-0.0125,289.2552560269977,289.5432553156036,131.60135725239343,131.46875,0.2879992886058744,-0.1326072523934272,added_boundary_constrained_display_endpoint
-0.00625,289.2552560269977,290.36933201008776,131.84702549309907,131.25,1.1140759830900606,-0.5970254930990677,added_boundary_constrained_display_endpoint
0.0,290.60441249479464,291.19540870457195,131.33627090750227,131.03125,0.5909962097773018,-0.30502090750226785,added_boundary_constrained_display_endpoint
0.00625,290.60441249479464,292.00989214040624,131.58144285418217,130.8125,1.4054796456115923,-0.7689428541821712,added_boundary_constrained_display_endpoint
0.0125,291.9348860075793,292.82437557624047,131.07608422295922,130.59375,0.8894895686611903,-0.48233422295922423,added_boundary_constrained_display_endpoint
0.01875,291.9348860075793,293.627495669507,131.31612172593313,130.375,1.6926096619277473,-0.9411217259331295,added_boundary_constrained_display_endpoint
0.025,293.2547656750959,294.43061576277364,130.81001893144824,130.15625,1.175850087677759,-0.6537689314482407,added_boundary_constrained_display_endpoint
0.03125,293.94395716666156,295.2785121121419,130.6549234432479,129.90625,1.3345549454803631,-0.7486734432478954,added_boundary_constrained_display_endpoint
0.0375,294.6281993189096,296.12021793150063,130.4955172255413,129.65625,1.492018612591039,-0.8392672255413061,added_boundary_constrained_display_endpoint
0.04375,295.3075368664902,296.95578979107665,130.34910682088605,129.40625,1.6482529245864725,-0.9428568208860497,added_boundary_constrained_display_endpoint
0.05,295.9038327874416,297.6810400317263,130.23735694217117,129.21875,1.777207244284682,-1.018606942171175,added_boundary_constrained_display_endpoint
0.05625,295.9038327874416,298.50222366534484,130.4764866346597,128.96875,2.5983908779032276,-1.5077366346596932,added_boundary_constrained_display_endpoint
0.0625,297.2394349148531,299.3234072989634,129.93507714112596,128.71875,2.083972384110268,-1.2163271411259586,added_boundary_constrained_display_endpoint
0.06875,297.2394349148531,300.081959570486,130.17366875595388,128.5,2.8425246556328716,-1.6736687559538836,added_boundary_constrained_display_endpoint
0.075,298.47992254992306,300.8405118420086,129.68357849048664,128.28125,2.3605892920855354,-1.4023284904866387,added_boundary_constrained_display_endpoint
0.08125,298.47992254992306,301.63892278887784,129.914478767582,128.03125,3.159000238954775,-1.8832287675820112,added_boundary_constrained_display_endpoint
0.0875,299.7790542904596,302.4373337357471,129.37414075450602,127.78125,2.6582794452874623,-1.5928907545060156,added_boundary_constrained_display_endpoint
0.09375,299.7790542904596,303.2243207553623,129.60876484449642,127.53125,3.4452664649027156,-2.07751484449642,added_boundary_constrained_display_endpoint
0.1,301.0599258911781,304.01130777497764,129.07947298405546,127.28125,2.951381883799513,-1.7982229840554567,added_boundary_constrained_display_endpoint
0.10625,301.0599258911781,304.7870696691455,129.3084636452744,127.03125,3.727143777967399,-2.2772136452744007,added_boundary_constrained_display_endpoint
0.1125,302.32285812782,305.5628315633134,128.78091742072476,126.78125,3.2399734354934253,-1.9996674207247622,added_boundary_constrained_display_endpoint
0.11875,302.32285812782,306.3756581260046,129.00674840349333,126.515625,4.052799998184639,-2.491123403493333,added_boundary_constrained_display_endpoint
