window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.005,4.680014717994345,-0.42138994001110275,-0.010387707634676915,-3.080852760695423e-5,-5.69090533948496e-5,5.62817825297052,2.3878853607099706e8,1.3047908899172362,1661.5362969750925,1616.502826140729,94.9389129047902
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.01,4.685014717994345,-0.42174649002184506,-0.014704590492062757,-3.317386794792057e-5,-8.05310310954542e-5,5.6152542298760295,1.3182607818002982e8,1.3017946899326553,916.6320848623317,889.4094607860891,52.328147529164525
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.02,4.6950147179943444,-0.422458767846994,-0.020835444252020725,-3.7896353445472316e-5,-0.00011402764417278526,5.589542262110549,6.925957313617687e7,1.2958338372740648,480.9142617425022,464.1491247952399,27.405574184699557
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.05,4.725014717994345,-0.42458895036650146,-0.03313328670322733,-5.199791942679633e-5,-0.00018095086895524801,5.5134818246930575,2.8211131634912502e7,1.2782006065260718,195.0679358769585,185.28911379655713,11.0646054827654
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.1,4.7750147179943445,-0.42811707968243606,-0.047303200056830294,-7.528135506616295e-5,-0.00025743040761177675,5.390201347461082,1.3900917587694287e7,1.2496202673173709,95.44544033940295,88.29915498771082,5.408948176667675
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.2,4.875014717994345,-0.4350905992588405,-0.06815137565680396,-0.0001210322574276072,-0.0003682641621406593,5.1560095158839205,6.654807779010041e6,1.1953271453513705,45.048283651185315,39.55893163766901,3.738269497964953
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.5,5.175014717994345,-0.45535832142530075,-0.11363378837567545,-0.0002518793383125284,-0.0006007360067155831,4.540009861203266,2.3566733106065607e6,1.0525188152855525,15.269499808992416,11.523691833537304,1.0540591610861345
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,1.0,5.675014717994345,-0.48701970658451565,-0.17422031520217932,-0.00044939849599452117,-0.0008861656589833603,3.737746086828868,1.0129161154053066e6,0.8665285326284871,6.075454807635991,3.609201264082048,0.49320021807105263
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,2.0,6.675014717994345,-0.5427934593917905,-0.2829790503976464,-0.000772975246587604,-0.001320327977307476,2.6687882998294157,427212.2772155059,0.6187100877441547,2.156114792210108,0.8183860568217047,0.31497583162289755
mode_a_muB0p0_alpha1p0_xip0p37_supplement,udbar_to_udbar,0.36,0.0001,4.5697563423754515,-0.4112227696128825,-0.001437887305187498,,,5.913442560443776,,5.480345607280235,0.0,5.480345607280235,0.3059292877488033
