# schema: M2_vs_s_mid_t_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_threshold: 240
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t_mid,M2
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.131577021922134,0.6856225795837917,163.39135303287196,-0.0011038020328363318,0.0,-0.0005519010164181659,1592.490550549223
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.13777560193624955,0.6856746015170719,163.39755161288608,-0.001155823966116576,0.0,-0.000577911983058288,1593.5676709499126
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.14426619641938168,0.6857290763134638,163.4040422073692,-0.0012102987625084438,0.0,-0.0006051493812542219,1594.4197629455605
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.15106256214323,0.6857861197310822,163.41083857309306,-0.001267342180126807,0.0,-0.0006336710900634035,1595.459791320894
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.1581791039595986,0.6858458530010665,163.41795511490943,-0.001327075450111126,0.0,-0.000663537725055563,1596.562449642378
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.16563090533138292,0.685908403087312,163.4254069162812,-0.0013896255363566867,0.0,-0.0006948127681783434,1597.7073083236708
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.17343376030186974,0.6859739029586205,163.43320977125168,-0.0014551254076651254,0.0,-0.0007275627038325627,1598.9071705719143
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.18160420697010526,0.6860424918738697,163.4413802179199,-0.0015237143229143157,0.0,-0.0007618571614571579,1600.164188567109
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.19015956254328695,0.6861143156808396,163.44993557349312,-0.001595538129884222,0.0,-0.000797769064942111,1601.478234071129
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.19911796004046795,0.6861895271293567,163.4588939709903,-0.0016707495784012982,0.0,-0.0008353747892006491,1602.8592174797977
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.2084983867253696,0.6862682861994561,163.4682743976752,-0.0017495086485007638,0.0,-0.0008747543242503819,1604.3635560138696
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.21832072434976152,0.6863507604452899,163.47809673529957,-0.0018319828943345051,0.0,-0.0009159914471672526,1605.8185314716484
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.2286057912927,0.686437125355559,163.48838180224251,-0.0019183478046036484,0.0,-0.0009591739023018242,1607.4103727499205
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.2393753866849453,0.6865275647312705,163.49915139763476,-0.0020087871803151636,0.0,-0.0010043935901575818,1609.2219008232373
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.250652336612073,0.6866222710816748,163.51042834756188,-0.00210349353071948,0.0,-0.00105174676535974,1610.843346425209
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.2624605424942093,0.6867214460392742,163.52223655344403,-0.0022026684883188485,0.0,-0.0011013342441594243,1612.6377764687188
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.2748250317449333,0.68682530079484,163.53460104269476,-0.002306523243884695,0.0,-0.0011532616219423475,1614.5514554884592
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.28777201081671183,0.6869340565534302,163.54754802176654,-0.002415279002474846,0.0,-0.001207639501237423,1616.5541551603362
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.30132892074530027,0.6870479450124393,163.56110493169513,-0.0025291674614839055,0.0,-0.0012645837307419527,1618.6573776737769
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.3155244953108364,0.6871672088627775,163.57530050626065,-0.0026484313118221303,0.0,-0.0013242156559110652,1621.0166498263882
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.33038882193889324,0.687292102314322,163.59016483288872,-0.002773324763366669,0.0,-0.0013866623816833346,1623.2225569567893
