point_id,series,process,T_MeV,muB_MeV,sqrt_s_GeV,literature_sigma_mb,model_sigma_mb,relative_error,abs_relative_error,scan_file
T160MeV_ustous_30,T160MeV_ustous,us_to_us,160.0,0.0,0.9088770630615501,4.867321946968979,5.15605741192,0.0593212177246,0.0593212177246,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_31,T160MeV_ustous,us_to_us,160.0,0.0,0.9088705536275556,4.778500720113051,5.15932751033,0.079695873773,0.079695873773,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_32,T160MeV_ustous,us_to_us,160.0,0.0,0.9088640441935611,4.689679493257124,5.16259760873,0.100842310473,0.100842310473,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_33,T160MeV_ustous,us_to_us,160.0,0.0,0.9088575347595662,4.600858266401197,5.16586770714,0.122805226335,0.122805226335,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_34,T160MeV_ustous,us_to_us,160.0,0.0,0.9088510253255717,4.512037039545268,5.16913780555,0.145632839501,0.145632839501,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_35,T160MeV_ustous,us_to_us,160.0,0.0,0.9118712054434779,4.404374946386568,4.01829978574,-0.0876571966165,0.0876571966165,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_36,T160MeV_ustous,us_to_us,160.0,0.0,0.9114308323709661,4.298058629392352,4.13580885459,-0.0377495489935,0.0377495489935,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_37,T160MeV_ustous,us_to_us,160.0,0.0,0.9114243229369716,4.209237402536424,4.13813971452,-0.0168908714849,0.0168908714849,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_38,T160MeV_ustous,us_to_us,160.0,0.0,0.9114178135029771,4.1204161756804965,4.14047057446,0.00486708087744,0.00486708087744,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_39,T160MeV_ustous,us_to_us,160.0,0.0,0.9114113040689822,4.031594948824568,4.14280143439,0.0275837446417,0.0275837446417,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_40,T160MeV_ustous,us_to_us,160.0,0.0,0.9109717200187726,3.9360448411462223,4.29884386403,0.0921734984039,0.0921734984039,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_41,T160MeV_ustous,us_to_us,160.0,0.0,0.912745442154506,4.528186353519073,3.8113519644,-0.158304966526,0.158304966526,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_42,T160MeV_ustous,us_to_us,160.0,0.0,0.9139908152310126,3.8135792101782005,3.5308727039,-0.0741315417092,0.0741315417092,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_43,T160MeV_ustous,us_to_us,160.0,0.0,0.9139843057970181,3.724757983322273,3.53224998412,-0.0516833577018,0.0516833577018,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_44,T160MeV_ustous,us_to_us,160.0,0.0,0.9139777963630236,3.635936756466345,3.53362726434,-0.0281384135594,0.0281384135594,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_45,T160MeV_ustous,us_to_us,160.0,0.0,0.9139712869290291,3.5471155296104175,3.53500454456,-0.00341431931169,0.00341431931169,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_46,T160MeV_ustous,us_to_us,160.0,0.0,0.9139647774950346,3.4582943027544895,3.53638182478,0.0225797792744,0.0225797792744,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_47,T160MeV_ustous,us_to_us,160.0,0.0,0.9135238126557961,3.3439033287733704,3.62968212572,0.085462637179,0.085462637179,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_48,T160MeV_ustous,us_to_us,160.0,0.0,0.915249207175509,3.276614520549183,3.30321415271,0.00811802303804,0.00811802303804,xs_T160_muB0_xi0p0.csv
