xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.15,100.0,322.3488151228836,0.3814831492244559,2.6301640982223664,100.0,100.0
-0.15,105.0,317.34963641366403,0.4541461071934127,2.6437749656187535,105.0,105.0
-0.15,110.0,311.7179030943346,0.5440218638560506,2.6553355983844056,110.0,110.0
-0.15,115.0,305.3931595715743,0.6547686698400962,2.6613514594545546,115.0,115.0
-0.15,120.0,298.31738418061786,0.7955315582319263,2.656732434697161,120.0,120.0
-0.15,125.0,290.43970780032015,0.9827923621029185,2.6297874156015633,125.0,125.0
-0.15,130.0,281.7288332258375,1.2492698025777806,2.557554143637637,130.0,130.0
-0.15,135.0,272.1985125565221,1.7312369548520008,2.3251596353541455,135.0,135.0
-0.1,60.0,348.65895214676925,0.09701603453094779,2.5851112174451414,60.0,60.0
-0.1,65.0,346.89525861511447,0.12026134399917428,2.571062452809605,65.0,65.0
-0.1,70.0,344.88596984341456,0.14346573041801058,2.5632320683474243,70.0,70.0
-0.1,75.0,342.5934078658777,0.17299421695694814,2.560464775875467,75.0,75.0
-0.1,80.0,339.98284969420325,0.20432113322225062,2.562031465456275,80.0,80.0
-0.1,85.0,337.0128018140285,0.24356305184781357,2.567250382981141,85.0,85.0
-0.1,90.0,333.6376541691093,0.28948823037260996,2.5754805376928753,90.0,90.0
-0.1,95.0,329.8088319417184,0.3430118585553928,2.5860592036888104,95.0,95.0
-0.1,100.0,325.4736419853763,0.4071933266527294,2.5981155083174814,100.0,100.0
-0.1,105.0,320.5763976628774,0.48512358645462,2.609508397202009,105.0,105.0
-0.1,110.0,315.05832495592836,0.5795784530304853,2.618315683029601,110.0,110.0
-0.1,115.0,308.85989584792804,0.6959031951063384,2.620810333251993,115.0,115.0
-0.1,120.0,301.9236727884311,0.8458515981907032,2.6104386904426917,120.0,120.0
-0.1,125.0,294.20029197607744,1.0475767163809642,2.5726998406548445,125.0,125.0
-0.1,130.0,285.6613594761751,1.3483426217790933,2.4725320388605474,130.0,130.0
-0.05,60.0,351.1973148062415,0.10900890349975537,2.561478833968753,60.0,60.0
-0.05,65.0,349.4613789961953,0.13310795214054905,2.5463802289396256,65.0,65.0
-0.05,70.0,347.48365340454745,0.1574202595188716,2.537241965031326,70.0,70.0
-0.05,75.0,345.23327048519025,0.1884202777666942,2.533458650230125,75.0,75.0
-0.05,80.0,342.67105853430576,0.2237385617846011,2.5340446358729656,80.0,80.0
-0.05,85.0,339.75762104857233,0.2639611268245806,2.538296654943453,85.0,85.0
-0.05,90.0,336.4483679242012,0.31164196833111973,2.545538926465615,90.0,90.0
-0.05,95.0,332.6948212020798,0.3686259772485691,2.5547036528037905,95.0,95.0
-0.05,100.0,328.44511420144545,0.4359845286757008,2.564551561008301,100.0,100.0
-0.05,105.0,323.6433789735539,0.5174087141134048,2.5737212327161405,105.0,105.0
-0.05,110.0,318.2320919339264,0.6168734246127319,2.579575356926825,110.0,110.0
-0.05,115.0,312.15230563561795,0.7408164144902707,2.5774745894387014,115.0,115.0
-0.05,120.0,305.34714965036954,0.9007715677784333,2.5596149794431433,120.0,120.0
-0.05,125.0,297.7686243868154,1.1229228202015977,2.507572462646585,125.0,125.0
-0.05,130.0,289.39067207349035,1.4738436319027797,2.3630797941513606,130.0,130.0
0.0,60.0,353.6220418795009,0.12305815677750048,2.5355318098638553,60.0,60.0
0.0,65.0,351.91042875297194,0.14520833110295428,2.519673990540556,65.0,65.0
0.0,70.0,349.9642972647689,0.17433765616370334,2.5101236960696798,70.0,70.0
0.0,75.0,347.7519902204531,0.20433347712912328,2.5057061039472486,75.0,75.0
0.0,80.0,345.23663510488046,0.24195016195187125,2.5054733398817786,80.0,80.0
0.0,85.0,342.3771382488633,0.28541179604691547,2.5086000293975044,85.0,85.0
0.0,90.0,339.13005398899816,0.33570186338714814,2.514332041652243,90.0,90.0
0.0,95.0,335.44746185534694,0.39450684119266166,2.5217865379955753,95.0,95.0
0.0,100.0,331.2778390772155,0.4662125078482251,2.529769731921949,100.0,100.0
0.0,105.0,326.56654364479783,0.5508824091469788,2.536417517605901,105.0,105.0
0.0,110.0,321.2559057748856,0.6567087088802596,2.5384955556227564,110.0,110.0
0.0,115.0,315.2878479380847,0.7894522156739254,2.5303761110110923,115.0,115.0
0.0,120.0,308.60603548607224,0.9630266314524866,2.503067586504368,120.0,120.0
0.0,125.0,301.16381259460917,1.2084883869804768,2.428697882635297,125.0,125.0
0.0,130.0,292.93733808344933,1.6525719760622029,2.1980098892615074,130.0,130.0
0.05,60.0,355.9393153742226,0.1362556170945427,2.507368260865771,60.0,60.0
0.05,65.0,354.2506689435395,0.16075284018405447,2.4914157139765454,65.0,65.0
0.05,70.0,352.33638910922093,0.19021418921171804,2.481385652148283,70.0,70.0
0.05,75.0,350.1610575234347,0.22444519921729372,2.47634340368035,75.0,75.0
0.05,80.0,347.68948654503885,0.2626543901131831,2.475322683551327,80.0,80.0
0.05,85.0,344.88158457856275,0.30742581712806927,2.4774695115083634,85.0,85.0
0.05,90.0,341.6937084592797,0.36076678554972164,2.4819513903625436,90.0,90.0
0.05,95.0,338.07850731417466,0.4240085704521502,2.487785338972974,95.0,95.0
0.05,100.0,333.98514357730187,0.49768270058274855,2.4935784386944615,100.0,100.0
0.05,105.0,329.3592337850472,0.589110751349999,2.4970428861294374,105.0,105.0
0.05,110.0,324.1438211571202,0.7000039119128858,2.4941964638404595,110.0,110.0
0.05,115.0,318.2812642796078,0.8426557728914018,2.478304638629235,115.0,115.0
0.05,120.0,311.716082949363,1.0325485554518203,2.437136242029057,120.0,120.0
0.05,125.0,304.4020826053005,1.3131263066048113,2.3317519394801898,125.0,125.0
0.1,60.0,358.15456104846305,0.14864874397930133,2.476484046166336,60.0,60.0
0.1,65.0,356.49141860899505,0.17812762187250747,2.461119114048084,65.0,65.0
0.1,70.0,354.6069909368214,0.20760769843926113,2.451474597708057,70.0,70.0
0.1,75.0,352.46889817942457,0.243262550353247,2.446059086484757,75.0,75.0
0.1,80.0,350.0400348059291,0.28499696209613573,2.4442957096844298,80.0,80.0
0.1,85.0,347.28145500779914,0.3327305032967794,2.4454157657955085,85.0,85.0
0.1,90.0,344.15004468285406,0.3882770719530479,2.4485055393228086,90.0,90.0
0.1,95.0,340.59877937079796,0.45360362204625027,2.4521589906296604,95.0,95.0
0.1,100.0,336.57780498163754,0.5337311891826855,2.4548033251461288,100.0,100.0
0.1,105.0,332.03285432920984,0.6299860723214088,2.454122070702136,105.0,105.0
0.1,110.0,326.90780995181154,0.7482454760207773,2.44551382857905,110.0,110.0
0.1,115.0,321.14519422225214,0.901589582446931,2.419947328845122,115.0,115.0
0.1,120.0,314.69004344702836,1.1122830018797982,2.360658788747624,120.0,120.0
0.1,125.0,307.4972805825354,1.448989950577375,2.202375517432168,125.0,125.0
0.15,60.0,360.2743749670201,0.16679353724471066,2.4438367421086364,60.0,60.0
0.15,65.0,358.638287140993,0.1943779865576135,2.42876173206834,65.0,65.0
0.15,70.0,356.7847760093648,0.22829982088465128,2.419066388274599,70.0,70.0
0.15,75.0,354.6822147538252,0.26530470311787424,2.4135222102909357,75.0,75.0
0.15,80.0,352.29517658639793,0.3079526254452406,2.411141908609848,80.0,80.0
0.15,85.0,349.58428647583025,0.3583228410976548,2.4110063655893397,85.0,85.0
0.15,90.0,346.50708787651115,0.41794738930286046,2.412140268569002,90.0,90.0
0.15,95.0,343.0174861367994,0.4876299253536513,2.4132922589803085,95.0,95.0
0.15,100.0,339.0652516886777,0.5718094179032054,2.412604028698887,100.0,100.0
0.15,105.0,334.5974181866096,0.6742693969026112,2.407202093107073,105.0,105.0
0.15,110.0,329.5581285457482,0.8013027641899235,2.391071655548403,110.0,110.0
0.15,115.0,323.89018165380185,0.9701104240049232,2.3541334456103282,115.0,115.0
0.15,120.0,317.5394878196158,1.207822879424024,2.266908207844835,120.0,120.0
0.15,125.0,310.46105551357294,1.698747261409289,1.9535513206907456,125.0,125.0
0.2,60.0,362.305951277337,0.18448681160983293,2.4088473089492584,60.0,60.0
0.2,65.0,360.69678951789956,0.21429379414041796,2.394944534704157,65.0,65.0
0.2,70.0,358.8755117972985,0.24758541736136758,2.385212122130827,70.0,70.0
0.2,75.0,356.809196062011,0.2883628811608843,2.379215938695945,75.0,75.0
0.2,80.0,354.4628109235079,0.3342877104008974,2.375922344298251,80.0,80.0
0.2,85.0,351.7981813201167,0.3872366892014888,2.3743697076225487,85.0,85.0
0.2,90.0,348.7731356180095,0.4485365123851248,2.3734483055736173,90.0,90.0
0.2,95.0,345.34209193642766,0.5240121143419034,2.3716881193751496,95.0,95.0
0.2,100.0,341.45580808605615,0.6129024689194921,2.36690408592258,100.0,100.0
0.2,105.0,337.0615561743383,0.7230080735241693,2.3557320037999383,105.0,105.0
0.2,110.0,332.10376899578216,0.8616811623466588,2.3295055528846085,110.0,110.0
0.2,115.0,326.5260056071354,1.047025741567333,2.274923708818927,115.0,115.0
0.2,120.0,320.274006616603,1.332083050541559,2.146483101484685,120.0,120.0
0.25,60.0,364.25380309360605,0.20144479441905905,2.3717344124038098,60.0,60.0
0.25,65.0,362.6744984564268,0.23536744957381933,2.3587839490116016,65.0,65.0
0.25,70.0,360.88506052685295,0.2720133504237522,2.3498791439865543,70.0,70.0
0.25,75.0,358.8545901159373,0.31338852011218343,2.3432390272295724,75.0,75.0
0.25,80.0,356.5485269071071,0.3615831042405582,2.338798212601515,80.0,80.0
0.25,85.0,353.92889767845793,0.4182360547870787,2.3354753695690778,85.0,85.0
0.25,90.0,350.9544745191886,0.4843647452583734,2.33200698035921,90.0,90.0
0.25,95.0,347.57985505375086,0.562973938716231,2.3266311177069268,95.0,95.0
0.25,100.0,343.7566253006788,0.6581368664155022,2.316797019518306,100.0,100.0
0.25,105.0,339.43255749506574,0.777311864833724,2.2984549726916432,105.0,105.0
0.25,110.0,334.55252670165623,0.9299823953406869,2.259809467696261,110.0,110.0
0.25,115.0,329.06036277682205,1.1415264688218476,2.179878574449254,115.0,115.0
0.25,120.0,322.9022138512567,1.528614962884886,1.9522521442610596,120.0,120.0
0.3,60.0,366.1247898234616,0.22441591718229645,2.3331685616078817,60.0,60.0
0.3,65.0,364.5757896518759,0.2570210960902213,2.320467568001883,65.0,65.0
0.3,70.0,362.8196726542727,0.29552547393939665,2.3113725146205786,70.0,70.0
0.3,75.0,360.8251280646184,0.3404386959047882,2.30469841629788,75.0,75.0
0.3,80.0,358.55859111574057,0.3915393198625398,2.2993762155624644,80.0,80.0
0.3,85.0,355.98265405140717,0.45030239324593335,2.293764925088696,85.0,85.0
0.3,90.0,353.0569369809838,0.5223244906863896,2.287059262443818,90.0,90.0
0.3,95.0,349.73669722422954,0.6056643166911206,2.2771994688084174,95.0,95.0
0.3,100.0,345.97398877773344,0.7087871942856784,2.2612913302252826,100.0,100.0
0.3,105.0,341.71700494677356,0.8382788271085528,2.231917465595788,105.0,105.0
0.3,110.0,336.91092051962255,1.0087480577915562,2.176508694045028,110.0,110.0
0.3,115.0,331.5001408973418,1.263551703046033,2.056804459440741,115.0,115.0
0.35,60.0,367.9248138009293,0.2456255985325757,2.29322735198296,60.0,60.0
0.35,65.0,366.4073110123086,0.28275187525997125,2.2804368788087044,65.0,65.0
0.35,70.0,364.6839447733439,0.32372997998202035,2.2707578414537872,70.0,70.0
0.35,75.0,362.72516673032266,0.3706138196664314,2.2629803636817876,75.0,75.0
0.35,80.0,360.4975235745871,0.42506803585750386,2.2560035518217973,80.0,80.0
0.35,85.0,357.964536306834,0.48823556167703186,2.2484513724738857,85.0,85.0
0.35,90.0,355.0858410618139,0.563573780645553,2.2376766688042524,90.0,90.0
0.35,95.0,351.81802849675864,0.6534191496495305,2.2223863210832624,95.0,95.0
0.35,100.0,348.1132484533639,0.7661888392552542,2.1993337327052984,100.0,100.0
0.35,105.0,343.92030206691254,0.9087793859255088,2.1566362016941287,105.0,105.0
0.35,110.0,339.18516905022517,1.1055970265802324,2.0747521898080805,110.0,110.0
0.35,115.0,333.8517052756737,1.4594494287763111,1.856036171837714,115.0,115.0
0.4,60.0,369.6591160021262,0.2717730427489402,2.2515837610168754,60.0,60.0
0.4,65.0,368.173466522891,0.308896659046058,2.238469942790049,65.0,65.0
0.4,70.0,366.48358700985943,0.3515002804708118,2.2277795160285896,70.0,70.0
0.4,75.0,364.56001358242145,0.40151391139332926,2.218412483075449,75.0,75.0
0.4,80.0,362.3703229478747,0.460440287679016,2.2091725509388382,80.0,80.0
0.4,85.0,359.8788972570029,0.5290820243203347,2.1985623102300345,85.0,85.0
0.4,90.0,357.04594987181736,0.6094478324679299,2.1828444840767784,90.0,90.0
0.4,95.0,353.82839489534535,0.707697331217162,2.1612257345912838,95.0,95.0
0.4,100.0,350.1794979295704,0.8315951478878615,2.125930900927447,100.0,100.0
0.4,105.0,346.0479651658097,0.9931256313332816,2.0652468076589776,105.0,105.0
0.4,110.0,341.38038095279006,1.2370945199339096,1.939204483707848,110.0,110.0
0.45,60.0,371.3342667341813,0.2974594873143004,2.207522460074357,60.0,60.0
