xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
0.05,119.07859505580942,190.8455182436401,1.8841559457293915,peak,true,9.96755104747379,phi_u,119.07859505580942,119.07859505580942
0.05,138.92502756511098,186.8403862815891,2.087546235249815,peak,true,10.303123272684,phi_u,138.92502756511098,138.92502756511098
0.05,158.77146007441254,182.15374861892403,2.239468589074151,peak,true,10.797907788123142,phi_u,158.77146007441254,158.77146007441254
0.05,178.61789258371414,176.77827388128625,2.3339059387407834,peak,true,11.54444156287556,phi_u,178.61789258371414,178.61789258371414
0.05,198.4643250930157,170.71396206867587,2.366245703609907,peak,true,12.709807426630077,phi_u,198.4643250930157,198.4643250930157
0.05,218.31075760231727,164.01106316849922,2.3402375139431904,peak,true,14.61755600134949,phi_u,218.31075760231727,218.31075760231727
0.05,238.15719011161883,156.71616148098343,2.2687092673086853,peak,true,17.969358542750243,phi_u,238.15719011161883,238.15719011161883
0.05,258.0036226209204,148.77900701872213,2.172887649937455,peak,true,24.700168589128147,phi_u,258.0036226209204,258.0036226209204
0.05,277.85005513022196,139.8314564184361,2.052964315603536,peak,true,44.06254510162902,phi_u,277.85005513022196,277.85005513022196
0.05,297.6964876395235,129.1855379565113,2.0310692557147787,peak,true,712.4003489802695,phi_u,297.6964876395235,297.6964876395235
0.1,0.0,203.0517823692395,0.0,peak,true,9.024377999219878,phi_u,0.0,0.0
0.1,20.264862080785466,202.74575140626317,0.36311621725897014,peak,true,9.035535877579417,phi_u,20.264862080785466,20.264862080785466
0.1,40.52972416157093,201.82852386869268,0.7187035722265521,peak,true,9.07033099206921,phi_u,40.52972416157093,40.52972416157093
0.1,60.7945862423564,200.30009975652814,1.059455409957634,peak,true,9.132932962590612,phi_u,60.7945862423564,60.7945862423564
0.1,81.05944832314186,198.12855751825947,1.3771208799856598,peak,true,9.231034466549833,phi_u,81.05944832314186,81.05944832314186
0.1,101.32431040392733,195.31929354378312,1.6647239743899678,peak,true,9.377232451634582,phi_u,101.32431040392733,101.32431040392733
0.1,121.5891724847128,191.8403862815891,1.9139594924996002,peak,true,9.591522199781311,phi_u,121.5891724847128,121.5891724847128
0.1,141.85403456549827,187.67630763160176,2.117399119166868,peak,true,9.90592041852601,phi_u,141.85403456549827,141.85403456549827
0.1,162.11889664628373,182.79600139366954,2.266687997985794,peak,true,10.373172750858421,phi_u,162.11889664628373,162.11889664628373
0.1,182.3837587270692,177.17294240617903,2.3535012308123706,peak,true,11.083940137616748,phi_u,182.3837587270692,182.3837587270692
0.1,202.64862080785466,170.84551824364013,2.3765269532563185,peak,true,12.202326594859688,phi_u,202.64862080785466,202.64862080785466
0.1,222.91348288864015,163.84845079338353,2.337760795676315,peak,true,14.044586159710818,phi_u,222.91348288864015,222.91348288864015
0.1,243.1783449694256,156.25938055578786,2.2554155026441647,peak,true,17.28500077736766,phi_u,243.1783449694256,243.1783449694256
0.1,263.443207050211,147.98966996893662,2.1495652976956863,peak,true,23.74423577536331,phi_u,263.443207050211,263.443207050211
0.1,283.70806913099653,138.6163946436065,2.024169855341634,peak,true,42.04513450619073,phi_u,283.70806913099653,283.70806913099653
0.1,303.972931211782,127.27754074385041,1.9572357876899653,peak,true,1380.882547343043,phi_u,303.972931211782,303.972931211782
0.15,0.0,204.42945651918484,0.0,peak,true,8.727446611019337,phi_u,0.0,0.0
0.15,20.67212998515423,204.11156314331203,0.3699178259833437,peak,true,8.73758328939212,phi_u,20.67212998515423,20.67212998515423
0.15,41.34425997030846,203.17147613130732,0.7322029699902254,peak,true,8.769265625866367,phi_u,41.34425997030846,41.34425997030846
0.15,62.01638995546268,201.57727393166059,1.0785765385675998,peak,true,8.826506949421974,phi_u,62.01638995546268,62.01638995546268
0.15,82.68851994061691,199.33628791873053,1.4015276186957624,peak,true,8.916726490414096,phi_u,82.68851994061691,82.68851994061691
0.15,103.36064992577113,196.41466155654498,1.6923556376079532,peak,true,9.052098845618493,phi_u,103.36064992577113,103.36064992577113
0.15,124.03277991092536,192.80786380656596,1.9436988373298636,peak,true,9.252014247531692,phi_u,124.03277991092536,124.03277991092536
0.15,144.70490989607958,188.47297605574582,2.146228661323656,peak,true,9.547659555919338,phi_u,144.70490989607958,144.70490989607958
0.15,165.37703988123383,183.3843384938294,2.2913993390344305,peak,true,9.990684261637732,phi_u,165.37703988123383,165.37703988123383
0.15,186.04916986638807,177.53655473092033,2.3725825800188542,peak,true,10.670354725099374,phi_u,186.04916986638807,186.04916986638807
0.15,206.72129985154226,170.92682443119796,2.384006454719602,peak,true,11.748757434604377,phi_u,206.72129985154226,206.72129985154226
0.15,227.39342983669653,163.63558843086145,2.3321212964479083,peak,true,13.536581012769581,phi_u,227.39342983669653,227.39342983669653
0.15,248.0655598218507,155.75688068172371,2.239275266621557,peak,true,16.682835316497428,phi_u,248.0655598218507,248.0655598218507
0.15,268.737689807005,147.17294240617903,2.1282161877965318,peak,true,22.897166325928886,phi_u,268.737689807005,268.737689807005
0.15,289.40981979215917,137.34741719419108,1.9958459958766408,peak,true,40.20472437350517,phi_u,289.40981979215917,289.40981979215917
0.15,310.0819497773134,125.25534829989064,1.9065840632145186,peak,true,1775.74420731552,phi_u,310.0819497773134,310.0819497773134
0.2,0.0,205.76411432156763,0.0,peak,true,8.457309433522864,phi_u,0.0,0.0
0.2,21.069694192457735,205.4390287438865,0.37660630426129066,peak,true,8.46653037303741,phi_u,21.069694192457735,21.069694192457735
0.2,42.13938838491547,204.45718070425892,0.745068974990042,peak,true,8.4954191183296,phi_u,42.13938838491547,42.13938838491547
0.2,63.2090825773732,202.81085296651813,1.0971727132109166,peak,true,8.547851030278201,phi_u,63.2090825773732,63.2090825773732
0.2,84.27877676983094,200.48552195449696,1.4245769833559532,peak,true,8.631004539220257,phi_u,84.27877676983094,84.27877676983094
0.2,105.34847096228867,197.46687912544436,1.7190741424144567,peak,true,8.756681139322753,phi_u,105.34847096228867,105.34847096228867
0.2,126.4181651547464,193.72700325660938,1.9719673331984744,peak,true,8.943749449159478,phi_u,126.4181651547464,126.4181651547464
0.2,147.48785934720414,189.2293449929069,2.17391154926302,peak,true,9.222692996975104,phi_u,147.48785934720414,147.48785934720414
0.2,168.55755353966188,183.94598311158586,2.3159765741708855,peak,true,9.644292532605641,phi_u,168.55755353966188,168.55755353966188
0.2,189.62724773211963,177.8519441118117,2.3893729691878702,peak,true,10.296850900307982,phi_u,189.62724773211963,189.62724773211963
0.2,210.69694192457735,170.97514921633547,2.39076570747258,peak,true,11.341305518208083,phi_u,210.69694192457735,210.69694192457735
0.2,231.76663611703506,163.38666030957742,2.325416711823599,peak,true,13.084193159157214,phi_u,231.76663611703506,231.76663611703506
0.2,252.8363303094928,155.2106490329595,2.2208632380493216,peak,true,16.150260225448292,phi_u,252.8363303094928,252.8363303094928
0.2,273.9060245019506,146.30568748039212,2.103830728955072,peak,true,22.138406488592448,phi_u,273.9060245019506,273.9060245019506
0.2,294.9757186944083,136.0159240860958,1.96707172385473,peak,true,38.49446551928301,phi_u,294.9757186944083,294.9757186944083
0.2,316.045412886866,123.09798491443107,1.8818639059588889,peak,true,1175.4970220870712,phi_u,316.045412886866,316.045412886866
0.25,0.0,207.05652436270933,0.0,peak,true,8.210320389120161,phi_u,0.0,0.0
0.25,21.455848691007684,206.71804113844408,0.38301042247681427,peak,true,8.218711718751408,phi_u,21.455848691007684,21.455848691007684
0.25,42.91169738201537,205.70350236181497,0.7575524255575277,peak,true,8.245071320688636,phi_u,42.91169738201537,42.91169738201537
0.25,64.36754607302305,204.0090494147388,1.1153018746550403,peak,true,8.293149953337224,phi_u,64.36754607302305,64.36754607302305
0.25,85.82339476403074,201.60585017829743,1.4472485164490183,peak,true,8.369905954885004,phi_u,85.82339476403074,85.82339476403074
0.25,107.27924345503843,198.48141790207345,1.7448116640016882,peak,true,8.486806061281717,phi_u,107.27924345503843,107.27924345503843
0.25,128.7350921460461,194.61077908523242,1.999145719539872,peak,true,8.662252375426798,phi_u,128.7350921460461,128.7350921460461
0.25,150.19094083705377,189.94671941460595,2.1999847655624807,peak,true,8.926114346938668,phi_u,150.19094083705377,150.19094083705377
0.25,171.64678952806148,184.46721311127595,2.3385063693209354,peak,true,9.328456083921377,phi_u,171.64678952806148,171.64678952806148
0.25,193.10263821906915,178.14139123057473,2.405230700046178,peak,true,9.956915037599137,phi_u,193.10263821906915,193.10263821906915
0.25,214.55848691007685,170.9799187305858,2.394421649726508,peak,true,10.971871961133662,phi_u,214.55848691007685,214.55848691007685
0.25,236.01433560108453,163.0972131908144,2.3154939646826307,peak,true,12.676490176744121,phi_u,236.01433560108453,236.01433560108453
0.25,257.4701842920922,154.64424154585063,2.2021074630767554,peak,true,15.67031251194993,phi_u,257.4701842920922,257.4701842920922
