T_MeV,T_fm,converged,status,error,meson,omega,q,xi,temperature,eta,fd_step,scheme,reD,imD,phase,weighted_phase,dReD_domega,dImD_domega,dReD_fd,dImD_fd,dphase_ad,dphase_formula,dphase_fd,dphase_raw_fd,dphase_abs_diff,dphase_formula_abs_diff,dphase_raw_fd_abs_diff,dweighted_ad,dweighted_fd,dweighted_abs_diff
212.0,1.074358912148032,true,ok,,pi,1.0,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,5.058358948696652,1.9341896100545732e-19,3.8237492231604894e-20,3.8237492231604894e-20,-3.009451591103449e-10,-0.0006015034802987706,-6.963807308579816e-6,-0.0006015045360946349,-0.0001189127711970214,-0.00011891277119702138,-0.00011891297992002326,-0.00011891297850599169,2.0872300186770745e-10,1.3552527156068805e-20,2.073089702968366e-10,-0.0001189127711970214,-0.00011891297850599169,2.073089702968366e-10
212.0,1.074358912148032,true,ok,,K,0.3,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.245089404954547,-4.194893098925685e-8,-3.369150104589334e-8,-3.369150104589334e-8,0.19021073808887617,-1.2100340383924926e-7,0.19021073818237252,-1.210034037958021e-7,-9.203750196731534e-8,-9.203750196731535e-8,-9.203750192989058e-8,-9.203750192800792e-8,3.742476111100217e-17,1.3234889800848443e-23,3.930742418517286e-17,-9.203750196731534e-8,-9.203750192800792e-8,3.930742418517286e-17
212.0,1.074358912148032,true,ok,,K,0.6,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.425775165249449,-0.2204623340560423,-0.1534113439963792,-0.1534113439963792,-0.12981410962447346,0.535771053333851,-4.032142117793569,0.6771064206309574,0.35325086651396964,0.35325086651396964,0.03673712079739219,0.036737116551610605,0.3165137457165774,0.0,0.31651374996235904,0.35325086651396964,0.036737116551610605,0.31651374996235904
212.0,1.074358912148032,true,ok,,K,1.0,0.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.1881373613947999,-0.18470379336406056,-0.15422215586462795,-0.15422215586462795,0.41312759024921536,0.26614551014693494,-0.11438536635655082,0.2463575564534692,0.2714950135018463,0.27149501350184624,0.1878419270894264,0.18784192708370948,0.08365308641241989,5.551115123125783e-17,0.08365308641813682,0.2714950135018463,0.18784192708370948,0.08365308641813682
212.0,1.074358912148032,true,ok,,K,0.3,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.0625881782410918,-0.2450875185818572,-0.22668703257916087,-0.22668703257916087,-0.5700637019932315,0.33118313718533665,-0.4520504295446592,1.0508498419589674,0.17844151799441577,0.1784415179944158,0.8458301729262063,0.8458301725591809,0.6673886549317906,2.7755575615628914e-17,0.6673886545647651,0.17844151799441577,0.8458301725591809,0.6673886545647651
212.0,1.074358912148032,true,ok,,K,0.6,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.045598048874689,-0.05010370872992394,-0.047882082516026624,-0.047882082516026624,-0.20147506599411263,0.04099241015241203,0.18853812910890608,0.4609504361232502,0.029902687363229714,0.029902687363229718,0.44845935974231455,0.44845935971565826,0.41855667237908484,3.469446951953614e-18,0.41855667235242855,0.029902687363229714,0.44845935971565826,0.41855667235242855
212.0,1.074358912148032,true,ok,,K,1.0,0.5,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.3469248044863733,0.13356467985933348,0.09883955901342939,0.09883955901342939,3.467757229127395,0.5679363901458974,3.9259383520451325,1.0826889757703517,0.16473261856979693,0.16473261856979696,0.5097764805088434,0.5097764754519174,0.34504386193904646,2.7755575615628914e-17,0.34504385688212047,0.16473261856979693,0.5097764754519174,0.34504385688212047
212.0,1.074358912148032,true,ok,,K,0.3,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.1549645603192478,0.08600789250806239,0.0743307953238064,0.0743307953238064,-1.96135794919022,-0.3074373465859578,1.0108126142660545,-1.4245887737150684,-0.1389557514374985,-0.1389557514374985,-1.291459862851789,-1.2914598631896812,1.1525041114142907,0.0,1.1525041117521826,-0.1389557514374985,-1.2914598631896812,1.1525041117521826
212.0,1.074358912148032,true,ok,,K,0.6,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,1.0003835650748605,-0.04473511555874588,-0.04468819157456702,-0.04468819157456702,-0.44764644832089223,0.05533535941106081,-0.09197935458837846,0.29131011436318854,0.035233524239294135,0.03523352423929413,0.2865139276387076,0.2865139276105738,0.25128040339941343,6.938893903907228e-18,0.25128040337127966,0.035233524239294135,0.2865139276105738,0.25128040337127966
212.0,1.074358912148032,true,ok,,K,1.0,1.0,0.0,1.074358912148032,1.0e-6,1.0e-5,phase_shift_current,0.7849332686184786,0.4561246738731585,0.526406461243822,0.526406461243822,0.25130556490112904,-0.19408130534943313,0.28086786254544194,0.19095640468660965,-0.32392292490868607,-0.3239229249086861,0.026423279052679587,0.16991470813618179,0.3503462039613657,5.551115123125783e-17,0.49383763304486783,-0.32392292490868607,0.16991470813618179,0.49383763304486783
