T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
60.000000,1.100000,0.000000,347.723090,347.723090,347.723090,347.723090,1043.169271,0.000000,0.000000,21.583365,0.237319,-20.580781,0.263411,0.263411,0.001178,-1.217012,-1.217012,-2.145386,0.043867,0.063329,242.774679,242.774679,501.500614,3,0.000000,true,
60.000000,1.050000,0.000000,349.280090,349.280090,349.280090,349.280090,1047.840269,0.000000,0.000000,21.587436,0.240139,-20.622309,0.251416,0.251416,0.001168,-1.251909,-1.251909,-2.149377,0.043729,0.063574,249.670353,249.670353,503.707423,3,0.000000,true,
60.000000,1.000000,0.000000,350.906440,350.906440,350.906440,350.906440,1052.719319,0.000000,0.000000,21.591490,0.241801,-20.664383,0.239422,0.239422,0.001156,-1.285875,-1.285875,-2.153333,0.043449,0.063761,256.388857,256.388857,505.909670,3,0.000000,true,
60.000000,0.950000,0.000000,352.565564,352.565564,352.565564,352.565564,1057.696692,0.000000,0.000000,21.595425,0.242277,-20.707019,0.227430,0.227430,0.001141,-1.318968,-1.318968,-2.157255,0.043026,0.063869,262.940928,262.940928,508.106546,3,0.000000,true,
60.000000,0.900000,0.000000,354.227329,354.227329,354.227329,354.227329,1062.681986,0.000000,0.000000,21.599164,0.241553,-20.750221,0.215439,0.215439,0.001122,-1.351244,-1.351244,-2.161143,0.042463,0.063882,269.337220,269.337220,510.297676,3,0.000000,true,
60.000000,0.850000,0.000000,355.865803,355.865803,355.865803,355.865803,1067.597410,0.000000,0.000000,21.602652,0.239623,-20.793991,0.203450,0.203450,0.001100,-1.382755,-1.382755,-2.164996,0.041761,0.063785,275.587992,275.587992,512.482988,3,0.000000,true,
60.000000,0.800000,0.000000,357.457552,357.457552,357.457552,357.457552,1072.372655,0.000000,0.000000,21.605847,0.236484,-20.838325,0.191463,0.191463,0.001074,-1.413552,-1.413552,-2.168817,0.040918,0.063566,281.702986,281.702986,514.662628,3,0.000000,true,
60.000000,0.750000,0.000000,358.980241,358.980241,358.980241,358.980241,1076.940723,0.000000,0.000000,21.608718,0.232132,-20.883218,0.179478,0.179478,0.001044,-1.443684,-1.443684,-2.172606,0.039936,0.063213,287.691384,287.691384,516.836909,3,0.000000,true,
60.000000,0.700000,0.000000,360.411414,360.411414,360.411414,360.411414,1081.234243,0.000000,0.000000,21.611243,0.226565,-20.928660,0.167496,0.167496,0.001008,-1.473195,-1.473195,-2.176366,0.038813,0.062715,293.561841,293.561841,519.006281,3,0.000000,true,
60.000000,0.650000,0.000000,361.727291,361.727291,361.727291,361.727291,1085.181872,0.000000,0.000000,21.613405,0.219781,-20.974639,0.155516,0.155516,0.000968,-1.502129,-1.502129,-2.180097,0.037547,0.062057,299.322537,299.322537,521.171317,3,0.000000,true,
60.000000,0.600000,0.000000,362.901464,362.901464,362.901464,362.901464,1088.704392,0.000000,0.000000,21.615192,0.211776,-21.021141,0.143539,0.143539,0.000922,-1.530525,-1.530525,-2.183801,0.036136,0.061226,304.981267,304.981267,523.332714,3,0.000000,true,
60.000000,0.550000,0.000000,363.903359,363.903359,363.903359,363.903359,1091.710077,0.000000,0.000000,21.616595,0.202545,-21.068149,0.131565,0.131565,0.000871,-1.558422,-1.558422,-2.187480,0.034574,0.060204,310.545537,310.545537,525.491304,3,0.000000,true,
60.000000,0.500000,0.000000,364.696239,364.696239,364.696239,364.696239,1094.088717,0.000000,0.000000,21.617610,0.192084,-21.115640,0.119593,0.119593,0.000814,-1.585858,-1.585858,-2.191136,0.032858,0.058973,316.022691,316.022691,527.648081,3,0.000000,true,
60.000000,0.450000,0.000000,365.234463,365.234463,365.234463,365.234463,1095.703390,0.000000,0.000000,21.618235,0.180389,-21.163588,0.107624,0.107624,0.000752,-1.612871,-1.612871,-2.194771,0.030980,0.057508,321.420043,321.420043,529.804232,3,0.000000,true,
60.000000,0.400000,0.000000,365.459463,365.459463,365.459463,365.459463,1096.378390,0.000000,0.000000,21.618471,0.167458,-21.211959,0.095658,0.095658,0.000684,-1.639500,-1.639500,-2.198389,0.028932,0.055781,326.745030,326.745030,531.961186,3,0.000000,true,
60.000000,0.350000,0.000000,365.293410,365.293410,365.293410,365.293410,1095.880230,0.000000,0.000000,21.618324,0.153286,-21.260712,0.083695,0.083695,0.000611,-1.665782,-1.665782,-2.201991,0.026703,0.053753,332.005345,332.005345,534.120656,3,0.000000,true,
60.000000,0.300000,0.000000,364.628357,364.628357,364.628357,364.628357,1093.885070,0.000000,0.000000,21.617804,0.137862,-21.309796,0.071734,0.071734,0.000533,-1.691760,-1.691760,-2.205581,0.024280,0.051376,337.209021,337.209021,536.284667,3,0.000000,true,
60.000000,0.250000,0.000000,363.305492,363.305492,363.305492,363.305492,1089.916475,0.000000,0.000000,21.616927,0.121154,-21.359152,0.059775,0.059775,0.000451,-1.717476,-1.717476,-2.209161,0.021641,0.048581,342.364360,342.364360,538.455521,3,0.000000,true,
60.000000,0.200000,0.000000,361.069917,361.069917,361.069917,361.069917,1083.209751,0.000000,0.000000,21.615714,0.103069,-21.408713,0.047818,0.047818,0.000365,-1.742970,-1.742970,-2.212736,0.018754,0.045261,347.479563,347.479563,540.635645,3,0.000000,true,
60.000000,0.150000,0.000000,357.455202,357.455202,357.455202,357.455202,1072.365606,0.000000,0.000000,21.614193,0.083369,-21.458416,0.035862,0.035862,0.000276,-1.768281,-1.768281,-2.216308,0.015558,0.041228,352.561936,352.561936,542.827244,4,0.000000,true,
60.000000,0.100000,0.000000,351.416960,351.416960,351.416960,351.416960,1054.250881,0.000000,0.000000,21.612391,0.061491,-21.508211,0.023907,0.023907,0.000185,-1.793434,-1.793434,-2.219878,0.011930,0.036085,357.616713,357.616713,545.031790,4,0.000000,true,
60.000000,0.050000,0.000000,339.589376,339.589376,339.589376,339.589376,1018.768129,0.000000,0.000000,21.610330,0.036020,-21.558074,0.011953,0.011953,0.000093,-1.818441,-1.818441,-2.223446,0.007554,0.028690,362.645952,362.645952,547.249508,4,0.000000,true,
60.000000,0.000000,0.000000,0.002818,0.002818,0.002818,0.002818,0.008454,0.000000,0.000000,21.608021,0.000002,-21.608020,0.000000,0.000000,0.000000,-1.843295,-1.843295,-2.227010,0.000097,0.000097,367.648216,367.648216,549.479185,24,0.000000,true,
65.000000,4.000000,0.000000,399.763808,399.763808,399.763808,399.763808,1199.291425,0.000000,0.000000,21.939609,1.074299,-17.696013,0.947403,0.947403,0.025194,-0.087424,-0.087424,-2.040833,0.138773,0.158858,22.376270,22.376270,458.116718,6,0.000000,true,
65.000000,3.950000,0.000000,398.753614,398.753614,398.753614,398.753614,1196.260843,0.000000,0.000000,21.929841,1.066809,-17.747040,0.935745,0.935745,0.024510,-0.090071,-0.090071,-2.041721,0.137915,0.158491,22.888845,22.888845,458.263409,3,0.000000,true,
65.000000,3.900000,0.000000,397.741518,397.741518,397.741518,397.741518,1193.224554,0.000000,0.000000,21.920178,1.058964,-17.798062,0.924080,0.924080,0.023840,-0.092843,-0.092843,-2.042593,0.137023,0.158096,23.425419,23.425419,458.408310,3,0.000000,true,
65.000000,3.850000,0.000000,396.727185,396.727185,396.727185,396.727185,1190.181554,0.000000,0.000000,21.910617,1.050759,-17.849078,0.912409,0.912409,0.023183,-0.095747,-0.095747,-2.043450,0.136096,0.157671,23.987666,23.987666,458.551637,3,0.000000,true,
65.000000,3.800000,0.000000,395.710284,395.710284,395.710284,395.710284,1187.130853,0.000000,0.000000,21.901155,1.042193,-17.900090,0.900731,0.900731,0.022538,-0.098794,-0.098794,-2.044293,0.135134,0.157216,24.577414,24.577414,458.693611,3,0.000000,true,
65.000000,3.750000,0.000000,394.690492,394.690492,394.690492,394.690492,1184.071475,0.000000,0.000000,21.891791,1.033263,-17.951098,0.889047,0.889047,0.021906,-0.101992,-0.101992,-2.045123,0.134136,0.156730,25.196662,25.196662,458.834461,3,0.000000,true,
65.000000,3.700000,0.000000,393.667489,393.667489,393.667489,393.667489,1181.002468,0.000000,0.000000,21.882521,1.023964,-18.002104,0.877357,0.877357,0.021286,-0.105355,-0.105355,-2.045941,0.133102,0.156213,25.847605,25.847605,458.974424,3,0.000000,true,
65.000000,3.650000,0.000000,392.640966,392.640966,392.640966,392.640966,1177.922899,0.000000,0.000000,21.873345,1.014294,-18.053106,0.865661,0.865661,0.020677,-0.108893,-0.108893,-2.046747,0.132032,0.155664,26.532650,26.532650,459.113753,3,0.000000,true,
65.000000,3.600000,0.000000,391.610624,391.610624,391.610624,391.610624,1174.831871,0.000000,0.000000,21.864259,1.004250,-18.104107,0.853961,0.853961,0.020079,-0.112622,-0.112622,-2.047543,0.130925,0.155082,27.254447,27.254447,459.252714,3,0.000000,true,
65.000000,3.550000,0.000000,390.576174,390.576174,390.576174,390.576174,1171.728522,0.000000,0.000000,21.855264,0.993828,-18.155107,0.842254,0.842254,0.019491,-0.116555,-0.116555,-2.048330,0.129781,0.154466,28.015916,28.015916,459.391595,3,0.000000,true,
65.000000,3.500000,0.000000,389.537348,389.537348,389.537348,389.537348,1168.612044,0.000000,0.000000,21.846356,0.983026,-18.206107,0.830543,0.830543,0.018914,-0.120710,-0.120710,-2.049108,0.128598,0.153816,28.820280,28.820280,459.530706,3,0.000000,true,
65.000000,3.450000,0.000000,388.493896,388.493896,388.493896,388.493896,1165.481689,0.000000,0.000000,21.837536,0.971838,-18.257106,0.818827,0.818827,0.018346,-0.125105,-0.125105,-2.049878,0.127377,0.153131,29.671104,29.671104,459.670390,3,0.000000,true,
65.000000,3.400000,0.000000,387.445597,387.445597,387.445597,387.445597,1162.336791,0.000000,0.000000,21.828802,0.960262,-18.308106,0.807106,0.807106,0.017788,-0.129760,-0.129760,-2.050642,0.126117,0.152409,30.572336,30.572336,459.811022,3,0.000000,true,
65.000000,3.350000,0.000000,386.392261,386.392261,386.392261,386.392261,1159.176784,0.000000,0.000000,21.820155,0.948294,-18.359108,0.795380,0.795380,0.017240,-0.134698,-0.134698,-2.051401,0.124817,0.151650,31.528361,31.528361,459.953022,3,0.000000,true,
65.000000,3.300000,0.000000,385.333742,385.333742,385.333742,385.333742,1156.001227,0.000000,0.000000,21.811593,0.935930,-18.410112,0.783650,0.783650,0.016700,-0.139944,-0.139944,-2.052156,0.123477,0.150852,32.544050,32.544050,460.096859,3,0.000000,true,
