xi,T_MeV,rho,muq_MeV,source,cap,result_status
0.5,5.0,1.728125,373.73979,stage_c_selected,12,confirmed_first_order
0.5,5.0,2.196875,378.697935,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.059375,379.175731,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.740625,373.460947,stage_c_selected,12,confirmed_first_order
0.5,20.0,2.203125,378.501511,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.084375,378.539265,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.090625,378.466331,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.746875,373.461445,stage_c_selected,12,confirmed_first_order
0.5,20.0,2.196875,378.35609,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.734375,373.461897,stage_c_selected,12,confirmed_first_order
0.5,20.0,2.209375,378.649094,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.078125,378.612278,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.096875,378.393486,stage_c_selected,12,confirmed_first_order
0.5,20.0,1.753125,373.463409,stage_c_selected,12,confirmed_first_order
0.5,20.0,2.190625,378.212841,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.196875,372.839898,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.759375,369.606563,stage_c_selected,12,confirmed_first_order
0.5,60.0,0.640625,376.313158,stage_c_selected,12,confirmed_first_order
0.5,60.0,2.153125,372.757917,stage_c_selected,12,confirmed_first_order
0.5,60.0,0.634375,376.312525,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.753125,369.607101,stage_c_selected,12,confirmed_first_order
0.5,60.0,2.159375,372.868324,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.190625,372.89431,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.203125,372.785541,stage_c_selected,12,confirmed_first_order
0.5,60.0,1.765625,369.607266,stage_c_selected,12,confirmed_first_order
0.5,60.0,0.646875,376.312156,stage_c_selected,12,confirmed_first_order
0.5,60.0,2.146875,372.649593,stage_c_selected,12,confirmed_first_order
0.5,90.0,1.378125,360.770231,stage_c_selected,12,confirmed_first_order
0.5,90.0,2.059375,360.769988,stage_c_selected,12,confirmed_first_order
0.5,90.0,0.984375,361.790524,stage_c_selected,12,confirmed_first_order
0.5,90.0,0.715625,360.740612,stage_c_selected,12,confirmed_first_order
0.5,90.0,1.778125,359.773522,stage_c_selected,12,confirmed_first_order
0.5,90.0,1.771875,359.773529,stage_c_selected,12,confirmed_first_order
0.5,90.0,0.978125,361.790242,stage_c_selected,12,confirmed_first_order
0.5,90.0,0.721875,360.796859,stage_c_selected,12,confirmed_first_order
0.5,90.0,2.053125,360.722023,stage_c_selected,12,confirmed_first_order
0.5,90.0,1.371875,360.793826,stage_c_selected,12,confirmed_first_order
0.5,90.0,1.384375,360.746648,stage_c_selected,12,confirmed_first_order
0.5,90.0,2.065625,360.81934,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.196875,354.411778,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.940625,354.100004,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.003125,354.116862,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.746875,353.807844,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.740625,353.807873,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.190625,354.411721,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.465625,354.113888,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.471875,354.103641,stage_c_selected,12,confirmed_first_order
0.5,100.0,0.996875,354.094743,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.946875,354.120997,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.203125,354.411352,stage_c_selected,12,confirmed_first_order
0.5,100.0,1.934375,354.079858,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.509375,348.379646,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.478125,348.378813,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.578125,348.378402,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.596875,348.378615,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.546875,348.378959,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.503125,348.379627,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.584375,348.378408,stage_c_selected,12,confirmed_first_order
0.5,106.9599609375,1.540625,348.379121,stage_c_selected,12,confirmed_first_order
