center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
0.06,baseline,256,true,u,0.04,uu_to_uu,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.09915020720380799,0.1349671106617782,0.1171108602085625,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15754189597144172
0.06,baseline,256,true,u,0.06,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.05669876321969283,0.17466254934127567,0.1598637701835275,8.71817825139564,3.3718517852891043,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20602320737738386
0.06,baseline,256,true,u,0.06,uubar_to_uubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.17366043212590346,2.0171297899939837,0.3955060287820177,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.4477655780181039
0.06,baseline,256,true,u,0.06,ud_to_ud,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.05669876321969283,0.17466254934127567,0.1598637701835275,8.71817825139564,3.3718517852891043,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20602320737738386
0.06,baseline,256,true,u,0.06,ss_to_ss,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07048505252160377,0.11724977488605574,0.07944200014209615,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08051344796629377
0.06,baseline,256,true,u,0.06,udbar_to_udbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.030526998462734,0.3713084368683927,0.2722414332576989,11.046380758650132,5.700054292543596,false,0.0,0.0,5.346326466106536,42.612326274430224,0.29667426417480863
0.06,baseline,256,true,u,0.06,subar_to_subar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.026575074230692365,0.38446740676385943,0.2699258090573662,18.307991846295153,5.866719218356275,false,0.0,0.0,12.441272627938877,50.822128781293436,0.23353850410618227
0.06,baseline,256,true,u,0.06,ssbar_to_uubar,true,true,false,3.0522942112582996,256,22.488699745268537,42.608857442901815,0.19983358192754064,3169.4710049574937,12.65212982552946,22.488699745268537,3.5665166819853766e-8,false,0.0,0.0,22.48869970960337,42.612326274430224,1.6320028819711738
0.06,baseline,256,true,u,0.06,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.09939424260360498,0.1348780259607434,0.11725462423314481,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.157833767393597
0.06,baseline,256,true,u,0.06,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11705069220584924,0.2839556871262147,0.1945659422310143,13.26454635123028,0.8232737232914022,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2006731647526618
