# git_commit: f196bce86483267108100538d0befbf4ca99803a
# script: scripts/relaxtime/run_gap_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/scan/_ab_fullcoupled_t190_sigma128_ch.csv
# title: gap_transport_scan_channel_diagnostics
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
190.0,0.0,0.0,-0.08,ubar,ubarubar_to_ubarubar,ubar,1.0,0.24341280644978802,0.15801364466123582,0.038462544704350975,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,subar_to_subar,s,1.0,0.12294920757776222,0.24079361862956356,0.02960538460028672,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,ubarsbar_to_ubarsbar,sbar,1.0,0.12294920757776222,0.19875980865483422,0.02443736097241951,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,uubar_to_uubar,d,1.0,0.24341280644978816,0.5508170990018814,0.13407593590857875,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,uubar_to_ddbar,d,1.0,0.24341280644978816,0.293389338254298,0.07141472220692488,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,uubar_to_ssbar,d,1.0,0.24341280644978816,0.032144761695446826,0.007824446656948363,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,dubar_to_dubar,d,1.0,0.24341280644978816,0.3084304557794863,0.07507592283587204,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,ubardbar_to_ubardbar,dbar,1.0,0.24341280644978816,0.20502590971649745,0.04990593207901354,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,ubarubar_to_ubarubar,dbar,1.0,0.24341280644978816,0.15801364466123582,0.038462544704350995,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,subar_to_subar,s,1.0,0.12294920757776222,0.24079361862956356,0.02960538460028672,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,dbar,ubarsbar_to_ubarsbar,sbar,1.0,0.12294920757776222,0.19875980865483422,0.02443736097241951,0.4308022499643948,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,sbar,usbar_to_usbar,u,2.0,0.24341280644978802,0.24079361862956083,0.11722450097164272,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,sbar,ubarsbar_to_ubarsbar,ubar,2.0,0.24341280644978802,0.19875980865483422,0.09676136566819213,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,sbar,sbarsbar_to_sbarsbar,sbar,1.0,0.12294920757776222,0.07796946048612101,0.009586283382034221,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,sbar,ssbar_to_ssbar,s,1.0,0.12294920757776222,0.2602154501098627,0.03199328339049834,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,sbar,ssbar_to_uubar,s,2.0,0.12294920757776222,0.137825913180007,0.03389117361832663,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,uu_to_uu,u,1.0,0.20611432786341777,0.1502329668355345,0.030965166982233325,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,ud_to_ud,u,1.0,0.20611432786341777,0.19749596400727756,0.040706747877097764,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,uubar_to_uubar,ubar,1.0,0.20611432786341777,0.4176566151522678,0.08608501250981983,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,uubar_to_ddbar,ubar,1.0,0.20611432786341777,0.2321289002219217,0.04784509224691576,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,uubar_to_ssbar,ubar,1.0,0.20611432786341777,0.031356320518828945,0.006462986928008323,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,udbar_to_udbar,ubar,1.0,0.20611432786341777,0.28300199649314933,0.058330766291190786,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,us_to_us,s,1.0,0.10586009075598171,0.19464758751093128,0.02060541127934008,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,u,usbar_to_usbar,sbar,1.0,0.10586009075598171,0.22398467423697999,0.0237110379426757,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,d,uu_to_uu,d,1.0,0.20611432786341777,0.1502329668355345,0.030965166982233325,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
190.0,0.0,0.0,0.08,d,ud_to_ud,d,1.0,0.20611432786341777,0.19749596400727756,0.040706747877097764,0.31471222205728155,0.31471222205728155,models,hadron,crossover_possible
