# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.m_u: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_d: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.m_s: fm^-1
# x_label: Temperature
# y_unit.M_u_plus_M_d: fm^-1
# y_unit.M_u_plus_M_s: fm^-1
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_u_plus_M_d,M_u_plus_M_s
20260328T063557_884e94d3,234.0,0.0,0.0,1.6094189621095207,2.7909692258062617,0.8154428670487867,0.9510990101380102,8.197465909858473e-9,1.1093126417449639e-11,good,good,newton,newton,0.11954235552111626,0.11954235552111611,1.769425184778007,ok,,,2026-03-28T06:36:40Z,0.2390847110422324,1.8889675402991233
20260328T063557_884e94d3,235.0,0.0,0.0,1.6353590310429396,2.7960072193179424,0.8419598197238688,0.9726584645975118,7.856985644306173e-9,9.706013770482969e-12,good,good,newton,newton,0.1162116631323677,0.11621166313236785,1.7580949879315153,ok,,,2026-03-28T06:36:40Z,0.23242332626473555,1.874306651063883
20260328T063557_884e94d3,236.0,0.0,0.0,1.6610960127045082,2.800985104240605,0.8686300215014394,0.9943636197627758,7.538517141989449e-9,8.5131901528257e-12,good,good,newton,newton,0.11305553513824297,0.11305553513824294,1.7467012405823596,ok,,,2026-03-28T06:36:40Z,0.22611107027648591,1.8597567757206026
20260328T063557_884e94d3,237.0,0.0,0.0,1.6866351621317872,2.8059170523196726,0.8954552932311979,1.0162268647592623,7.2403097154161735e-9,7.498224263713382e-12,good,good,newton,newton,0.11006101376691166,0.11006101376691152,1.735246477222877,ok,,,2026-03-28T06:36:41Z,0.22012202753382318,1.8453074909897886
20260328T063557_884e94d3,238.0,0.0,0.0,1.7119814038534322,2.810816272839934,0.9224369776938468,1.0382590988325318,6.9607476937225785e-9,6.643796623961862e-12,good,good,newton,newton,0.10721637542654958,0.10721637542654955,1.723733480716277,ok,,,2026-03-28T06:36:41Z,0.21443275085309912,1.8309498561428266
20260328T063557_884e94d3,239.0,0.0,0.0,1.7371393475620918,2.81569510353224,0.949576000219932,1.060469891908829,6.698353357305363e-9,7.026858917691622e-12,good,good,newton,newton,0.10451098888292552,0.10451098888292551,1.7121652585686118,ok,,,2026-03-28T06:36:41Z,0.20902197776585102,1.8166762474515372
20260328T063557_884e94d3,240.0,0.0,0.0,1.7621133041716712,2.8205650883906372,0.9768729192869973,1.0828676202807321,6.451764438575092e-9,7.471148883539875e-12,good,good,newton,newton,0.10193519226559858,0.10193519226559869,1.7005450215083018,ok,,,2026-03-28T06:36:42Z,0.20387038453119727,1.8024802137739004
20260328T063557_884e94d3,241.0,0.0,0.0,1.7869073019661839,2.825437044285891,1.004327969076095,1.105459581983964,6.219732389436265e-9,7.890446955274457e-12,good,good,newton,newton,0.09948018610000382,0.09948018610000385,1.6888761638923246,ok,,,2026-03-28T06:36:43Z,0.19896037220000767,1.7883563499923285
20260328T063557_884e94d3,242.0,0.0,0.0,1.8115251027231105,2.8303211180110717,1.0319410956565993,1.1282520956329072,6.001119013264977e-9,8.2956787462036e-12,good,good,newton,newton,0.09713794000555674,0.09713794000555667,1.6771622455156867,ok,,,2026-03-28T06:36:44Z,0.1942758800111134,1.7743001855212435
20260328T063557_884e94d3,243.0,0.0,0.0,1.8359702175395427,2.8352268351087786,1.059711987915352,1.1512505855941526,5.794889702274257e-9,8.69322203874442e-12,good,good,newton,newton,0.09490111111249705,0.0949011111124973,1.6654069745711393,ok,,,2026-03-28T06:36:44Z,0.18980222222499435,1.7603080856836364
20260328T063557_884e94d3,244.0,0.0,0.0,1.8602459223847945,2.840163141702323,1.0876401043647952,1.1744596560523028,5.6000960833245125e-9,9.087059563679722e-12,good,good,newton,newton,0.09276297252040573,0.09276297252040563,1.6536141914623483,ok,,,2026-03-28T06:36:45Z,0.18552594504081138,1.746377163982754
20260328T063557_884e94d3,245.0,0.0,0.0,1.884355273229267,2.8451384403359854,1.1157246965441014,1.197883155892546,5.41587619159489e-9,9.479265480661912e-12,good,good,newton,newton,0.09071735041388089,0.09071735041388074,1.641787853315833,ok,,,2026-03-28T06:36:45Z,0.18143470082776164,1.732505203729714
20260328T063557_884e94d3,246.0,0.0,0.0,1.9083011207165317,2.850160620716716,1.1439648296705955,1.2215242360527085,5.2414401250153836e-9,9.868346607891096e-12,good,good,newton,newton,0.0887585686495948,0.08875856864959497,1.629932019040309,ok,,,2026-03-28T06:36:46Z,0.17751713729918978,1.718690587689904
20260328T063557_884e94d3,247.0,0.0,0.0,1.932086124347336,2.855237086128729,1.1723594010570557,1.2453854006943403,5.076073510846962e-9,1.0253185660353917e-11,good,good,newton,newton,0.08688139981074423,0.08688139981074429,1.6180508348247544,ok,,,2026-03-28T06:36:47Z,0.17376279962148852,1.7049322346354987
20260328T063557_884e94d3,248.0,0.0,0.0,1.9557127661374356,2.8603747761879337,1.2009071566882268,1.2694685532867132,4.9191227478729145e-9,1.06284063666024e-11,good,good,newton,newton,0.08508102187664177,0.0850810218766417,1.6061485200054708,ok,,,2026-03-28T06:36:48Z,0.17016204375328348,1.6912295418821126
20260328T063557_884e94d3,249.0,0.0,0.0,1.97918336374219,2.8655801865234127,1.2296067062935758,1.2937750385235256,4.769984197884153e-9,1.0988663244710525e-11,good,good,newton,newton,0.08335297977755796,0.08335297977755798,1.594229353247541,ok,,,2026-03-28T06:36:48Z,0.16670595955511594,1.6775823330250987
20260328T063557_884e94d3,250.0,0.0,0.0,2.002500083012863,2.8708593858910914,1.2584565371473646,1.3183056807964457,4.628113872568162e-9,1.1325883159539765e-11,good,good,newton,newton,0.08169315121271226,0.08169315121271224,1.582297659022975,ok,,,2026-03-28T06:36:49Z,0.1633863024254245,1.663990810235687
20260328T063557_884e94d3,220.0,0.0,0.15,1.0985000804538223,2.6511016290371425,0.34400833841845097,0.5356567982787866,8.316880830581305e-11,1.67651448279571e-11,good,good,newton,newton,0.26102279998242356,0.26102279998242367,1.9635696764789432,ok,,,2026-03-28T06:36:50Z,0.5220455999648472,2.2245924764613667
20260328T063557_884e94d3,221.0,0.0,0.15,1.1278714358413877,2.6628020854565126,0.369986280728344,0.562912259135373,1.149990351278271e-15,4.220526843142958e-10,good,good,newton,newton,0.247725832113221,0.24772583211322086,1.9533708264084104,ok,,,2026-03-28T06:36:50Z,0.4954516642264418,2.2010966585216316
20260328T063557_884e94d3,222.0,0.0,0.15,1.157019996229288,2.673713447528457,0.3955028077147197,0.5887720707811256,9.990994769625935e-16,3.1465111362214173e-10,good,good,newton,newton,0.2355865911960353,0.23558659119603528,1.9432257970257714,ok,,,2026-03-28T06:36:50Z,0.4711731823920706,2.1788123882218065
