xi,mu_MeV,T_MeV,rho,cep_mu_proxy_MeV,cep_mu_source,filter_status
-0.125,307.8581909810284,133.0087447721479,3.7700103438455295,273.7915417423951,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.125,331.5395902872613,133.0087447721479,4.608630420450371,273.7915417423951,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.125,355.22098959349427,133.0087447721479,5.575504431432645,273.7915417423951,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1125,284.6691844244686,133.0087447721479,2.8931730815799033,275.55173235678205,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1125,308.39161645984103,133.0087447721479,3.749887990679451,275.55173235678205,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1125,332.1140484952134,133.0087447721479,4.586845060760668,275.55173235678205,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1125,355.8364805305858,133.0087447721479,5.550651415308806,275.55173235678205,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1,285.0798326883213,133.0087447721479,2.8565354809855186,277.40685374815587,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1,308.8364854123481,133.0087447721479,3.727332474357183,277.40685374815587,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1,332.5931381363749,133.0087447721479,4.562175469407276,277.40685374815587,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1,356.34979086040164,133.0087447721479,5.522136826834073,277.40685374815587,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.075,286.1087420069075,133.0087447721479,2.7893767001539054,280.91732393964037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.075,309.9511371741498,133.0087447721479,3.6912991702013276,280.91732393964037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.075,333.79353234139205,133.0087447721479,4.523835527688623,280.91732393964037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.075,357.6359275086344,133.0087447721479,5.478871060462209,280.91732393964037,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.05,287.0385832521753,131.31741382640556,1.6129079714905001,284.44281267612115,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.05,310.95846518985655,129.00907167951792,3.3954915965740797,284.44281267612115,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.05,334.87834712753784,129.00907167951792,4.206223150845279,284.44281267612115,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.05,358.7982290652191,129.00907167951792,5.11909890346179,284.44281267612115,muq_last_first_order_MeV,excluded_response_peak_above_CEP
