target_id,xi,T_MeV,method,rho,muq_MeV,source_curve_sha256
xi_0p00_T51,0,51,production_hybrid,0.925,362.094722,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.93125,361.958081,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.9375,361.820919,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.94375,361.683252,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.95,361.545092,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.95625,361.406455,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.9625,361.267353,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.96875,361.127801,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.975,360.987811,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.98125,360.847397,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.9875,360.706573,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.99375,360.565352,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.0,360.423747,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.00625,360.28177,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.0125,360.139435,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.01875,359.996755,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.025,359.853743,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
