xi,source_T_min_MeV,display_T_floor_MeV,extension_gap_MeV,extension_method,source_T_second_MeV,source_mu_first_MeV,source_mu_second_MeV,display_mu_floor_MeV,synthetic_row,status
0.36875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,374.89319949580533,374.88356528224585,374.8980166025851,True,display_extrapolated_noncertified
0.375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,375.0956243258247,375.0860361122284,375.10041843262286,True,display_extrapolated_noncertified
0.38125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,375.2967700732222,375.2872283375698,375.3015409410484,True,display_extrapolated_noncertified
0.3875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,375.4970577532165,375.48755854308627,375.5018073582816,True,display_extrapolated_noncertified
0.39375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,375.69650311633336,375.687048693032,375.70123032798404,True,display_extrapolated_noncertified
0.4,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,375.8951244196189,375.8857123468387,375.899830456009,True,display_extrapolated_noncertified
0.40625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,376.0924977079659,376.0831283368509,376.0971823935234,True,display_extrapolated_noncertified
0.4125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,376.2898709963129,376.28054432686304,376.2945343310379,True,display_extrapolated_noncertified
0.41875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,376.48562743683726,376.47634254797686,376.49026988126747,True,display_extrapolated_noncertified
0.425,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,376.68138387736155,376.6721407690907,376.686005431497,True,display_extrapolated_noncertified
0.43125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,376.87594322319643,376.86673945045106,376.8805451095691,True,display_extrapolated_noncertified
0.4375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,377.0697102979775,377.0605426133693,377.0742941402816,True,display_extrapolated_noncertified
0.44375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,377.2626882437846,377.25356519132504,377.2672497700144,True,display_extrapolated_noncertified
0.45,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,377.45489526906755,377.4458076050849,377.4594391010589,True,display_extrapolated_noncertified
0.45625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,377.64594491934935,377.63689637244784,377.6504691928001,True,display_extrapolated_noncertified
0.4625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,377.8369945696312,377.82798513981083,377.8414992845414,True,display_extrapolated_noncertified
0.46875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.0265316788731,378.0175576459218,378.03101869534873,True,display_extrapolated_noncertified
0.475,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.216068788115,378.20713015203273,378.22053810615614,True,display_extrapolated_noncertified
0.48125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.4041037385821,378.39520267698225,378.40855426938197,True,display_extrapolated_noncertified
0.4875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.5921386890491,378.5832752019317,378.5965704326078,True,display_extrapolated_noncertified
0.49375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.77870471693024,378.7698774057866,378.78311837250203,True,display_extrapolated_noncertified
0.5,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,378.9652707448114,378.9564796096414,378.9696663123964,True,display_extrapolated_noncertified
