surface,xi,xi_role,xi_left,xi_right,axis_low,axis_high,source_rows,coverage_status
maxwell,-0.1125,native_uniform,-0.1125,-0.1125,5.0,134.875,83,native_support
maxwell,-0.10625,derived_uniform,-0.1125,-0.1,9.0,134.4375,81,interpolated_common_support
maxwell,-0.1,native_uniform,-0.1,-0.1,9.0,134.4375,78,native_support
maxwell,-0.09375,derived_uniform,-0.1,-0.075,9.0,133.625,83,interpolated_common_support
maxwell,-0.0875,derived_uniform,-0.1,-0.075,9.0,133.625,83,interpolated_common_support
maxwell,-0.08125,derived_uniform,-0.1,-0.075,9.0,133.625,83,interpolated_common_support
maxwell,-0.075,native_uniform,-0.075,-0.075,5.0,133.625,83,native_support
maxwell,-0.06875,derived_uniform,-0.075,-0.05,5.0,132.75,83,interpolated_common_support
maxwell,-0.0625,derived_uniform,-0.075,-0.05,5.0,132.75,83,interpolated_common_support
maxwell,-0.05625,derived_uniform,-0.075,-0.05,5.0,132.75,83,interpolated_common_support
maxwell,-0.05,native_uniform,-0.05,-0.05,5.0,132.75,77,native_support
maxwell,-0.04375,derived_uniform,-0.05,-0.0375,5.0,132.3125,78,interpolated_common_support
maxwell,-0.0375,native_uniform,-0.0375,-0.0375,5.0,132.3125,77,native_support
maxwell,-0.03125,derived_uniform,-0.0375,-0.025,5.0,131.875,79,interpolated_common_support
maxwell,-0.025,native_uniform,-0.025,-0.025,5.0,131.875,77,native_support
maxwell,-0.01875,derived_uniform,-0.025,-0.0125,5.0,131.4375,81,interpolated_common_support
maxwell,-0.0125,native_uniform,-0.0125,-0.0125,5.0,131.4375,79,native_support
maxwell,-0.00625,derived_uniform,-0.0125,0.0,5.0,131.0,77,interpolated_common_support
maxwell,0.0,native_uniform,0.0,0.0,5.0,131.0,75,native_support
maxwell,0.00625,derived_uniform,0.0,0.0125,5.0,130.5625,78,interpolated_common_support
maxwell,0.0125,native_uniform,0.0125,0.0125,5.0,130.5625,76,native_support
maxwell,0.01875,derived_uniform,0.0125,0.025,5.0,130.125,78,interpolated_common_support
maxwell,0.025,native_uniform,0.025,0.025,1.0,130.125,80,native_support
maxwell,0.03125,native_uniform,0.03125,0.03125,1.0,129.875,80,native_support
maxwell,0.0375,native_uniform,0.0375,0.0375,1.0,129.625,79,native_support
maxwell,0.04375,native_uniform,0.04375,0.04375,1.0,129.375,77,native_support
maxwell,0.05,native_uniform,0.05,0.05,1.0,129.1875,79,native_support
maxwell,0.05625,derived_uniform,0.05,0.0625,1.0,128.6875,79,interpolated_common_support
maxwell,0.0625,native_uniform,0.0625,0.0625,1.0,128.6875,73,native_support
maxwell,0.06875,derived_uniform,0.0625,0.075,1.0,128.25,74,interpolated_common_support
maxwell,0.075,native_uniform,0.075,0.075,1.0,128.25,71,native_support
maxwell,0.08125,derived_uniform,0.075,0.0875,1.0,127.75,75,interpolated_common_support
maxwell,0.0875,native_uniform,0.0875,0.0875,1.0,127.75,73,native_support
maxwell,0.09375,derived_uniform,0.0875,0.1,1.0,127.25,75,interpolated_common_support
maxwell,0.1,native_uniform,0.1,0.1,1.0,127.25,75,native_support
maxwell,0.10625,derived_uniform,0.1,0.1125,1.0,126.75,76,interpolated_common_support
maxwell,0.1125,native_uniform,0.1125,0.1125,1.0,126.75,72,native_support
maxwell,0.11875,derived_uniform,0.1125,0.125,1.0,126.1875,76,interpolated_common_support
maxwell,0.125,native_uniform,0.125,0.125,1.0,126.1875,75,native_support
maxwell,0.13125,native_uniform,0.13125,0.13125,1.0,126.0,74,native_support
maxwell,0.1375,native_uniform,0.1375,0.1375,1.0,125.75,75,native_support
maxwell,0.14375,native_uniform,0.14375,0.14375,1.0,125.5,72,native_support
