reference_mode,muB_MeV,xi,alpha_T,T_MeV,species,channel,density,rate,contribution,species_total,contribution_share
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,subar_to_subar,0.21415167610361044,1.2978727812565503,0.2779416314753448,3.1478286789108267,0.08829630193582033
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,uubar_to_ssbar,0.9908227295424082,0.0163202580884803,0.016170482666064617,3.1478286789108267,0.005137027556296275
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,ubardbar_to_ubardbar,0.008344294934805778,0.3229563371236831,0.0026948429280245763,3.1478286789108267,0.0008560958053654346
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,ubarubar_to_ubarubar,0.008344294934805778,0.2665254790857266,0.002223967205131712,3.1478286789108267,0.0007065083370106476
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,ubarsbar_to_ubarsbar,0.00176388382710381,0.3215962203560338,0.0005672583719437211,3.1478286789108267,0.00018020624049336665
legacy,900.0,-0.5,1.2,150.88470963755142,u,ud_to_ud,1.3930785959194596,0.06568660794903287,0.09150660757235073,0.29643143774443687,0.3086940044842394
legacy,900.0,-0.5,1.2,150.88470963755142,u,uu_to_uu,1.3930785959194596,0.0621014582989931,0.08651221233171218,0.29643143774443687,0.2918456051422493
legacy,900.0,-0.5,1.2,150.88470963755142,u,us_to_us,0.6249977882180552,0.09894129890524554,0.06183809297919995,0.29643143774443687,0.20860841700775531
legacy,900.0,-0.5,1.2,150.88470963755142,u,udbar_to_udbar,0.029403146836669895,0.7686095220735003,0.0225995386375898,0.29643143774443687,0.07623867026234105
legacy,900.0,-0.5,1.2,150.88470963755142,u,uubar_to_uubar,0.029403146836669895,0.6692200707928315,0.019677176007568246,0.29643143774443687,0.06638019286109786
legacy,900.0,-0.5,1.2,150.88470963755142,u,uubar_to_ddbar,0.029403146836669895,0.29372837669092655,0.00863653858994,0.29643143774443687,0.029135029184677235
legacy,900.0,-0.5,1.2,150.88470963755142,u,usbar_to_usbar,0.011588773086479749,0.3998118734300836,0.004633329078461601,0.29643143774443687,0.015630356596847004
legacy,900.0,-0.5,1.2,150.88470963755142,u,uubar_to_ssbar,0.029403146836669895,0.03496029024799527,0.0010279425476144035,0.29643143774443687,0.003467724460792941
legacy,900.0,-0.5,1.2,150.88470963755142,ubar,dubar_to_dubar,1.3930785959194596,0.7686095220735003,1.0707334738204788,3.0244178473805405,0.3540296109374718
